,freq,lovers
0,4808,Draco_Malfoy/Hermione_Granger
1,1559,Hermione_Granger/Severus_Snape
2,1370,Harry_Potter/Hermione_Granger
3,1240,James_Potter/Lily_Evans_Potter
4,1066,Ginny_Weasley/Harry_Potter
5,821,Hermione_Granger/Ron_Weasley
6,470,Draco_Malfoy/Original_Female_Character
7,458,Fred_Weasley/Hermione_Granger
8,387,Hermione_Granger/Tom_Riddle
9,368,Draco_Malfoy/Reader
10,327,Original_Female_Character/Severus_Snape
11,282,Hermione_Granger/Lucius_Malfoy
12,280,Nymphadora_Tonks/Remus_Lupin
13,257,Lily_Evans_Potter/Severus_Snape
14,250,Newt_Scamander/Tina_Goldstein
15,231,Reader/Severus_Snape
16,228,Hermione_Granger/Sirius_Black
17,224,Draco_Malfoy/Ginny_Weasley
18,221,Original_Female_Character/Sirius_Black
19,197,Lucius_Malfoy/Narcissa_Black_Malfoy
20,196,Fred_Weasley/Original_Female_Character
21,193,Neville_Longbottom/Pansy_Parkinson
22,191,Rose_Weasley/Scorpius_Malfoy
23,168,Charlie_Weasley/Hermione_Granger
24,165,Reader/Sirius_Black
25,165,Astoria_Greengrass/Draco_Malfoy
26,155,Hermione_Granger/Remus_Lupin
27,144,Hermione_Granger/Theodore_Nott
28,142,Original_Female_Character/Remus_Lupin
29,135,George_Weasley/Reader
30,133,Fred_Weasley/Reader
31,131,George_Weasley/Original_Female_Character
32,130,Reader/Remus_Lupin
33,120,Harry_Potter/Original_Female_Character
34,119,Hermione_Granger/Viktor_Krum
35,117,Harry_Potter/Luna_Lovegood
36,114,Marlene_McKinnon/Sirius_Black
37,113,Daphne_Greengrass/Harry_Potter
38,112,Original_Female_Character/Tom_Riddle
39,103,Draco_Malfoy/Harry_Potter
40,102,Harry_Potter/Pansy_Parkinson
41,101,Draco_Malfoy/Luna_Lovegood
42,95,Bellatrix_Black_Lestrange/Voldemort
43,92,Fleur_Delacour/Harry_Potter
44,82,Arthur_Weasley/Molly_Weasley
45,79,George_Weasley/Hermione_Granger
46,78,Hermione_Granger/James_Potter
47,77,Hermione_Granger/Neville_Longbottom
48,77,Teddy_Lupin/Victoire_Weasley
49,71,Harry_Potter/Severus_Snape
50,69,Harry_Potter/Tom_Riddle
51,68,Andromeda_Black_Tonks/Ted_Tonks
52,67,Blaise_Zabini/Hermione_Granger
53,65,Bill_Weasley/Fleur_Delacour
54,64,Luna_Lovegood/Neville_Longbottom
55,63,Hermione_Granger/Voldemort
56,63,Hermione_Granger/Thorfinn_Rowle
57,60,Harry_Potter/Reader
58,58,Harry_Potter/Voldemort
59,54,Blaise_Zabini/Ginny_Weasley
60,53,Draco_Malfoy/Pansy_Parkinson
61,53,Antonin_Dolohov/Hermione_Granger
62,52,Narcissa_Black_Malfoy/Severus_Snape
63,51,Neville_Longbottom/Original_Female_Character
64,51,Charlie_Weasley/Original_Female_Character
65,49,Albus_Dumbledore/Minerva_McGonagall
66,48,Kylo_Ren/Rey
67,47,Pansy_Parkinson/Ron_Weasley
68,47,Bill_Weasley/Hermione_Granger
69,43,Reader/Tom_Riddle
70,43,Reader/Regulus_Black
71,43,Hermione_Granger/Loki_
72,43,Fenrir_Greyback/Hermione_Granger
73,42,Draco_Malfoy/Original_Character
74,41,Ginny_Weasley/Sirius_Black
75,41,Luna_Lovegood/Severus_Snape
76,41,Newt_Scamander/Reader
77,40,Hermione_Granger/Steve_Rogers
78,39,Ginny_Weasley/Tom_Riddle
79,39,James_Sirius_Potter/Original_Female_Character
80,38,Original_Female_Character/Regulus_Black
81,38,Cedric_Diggory/Original_Female_Character
82,37,Pansy_Parkinson/Percy_Weasley
83,37,Minerva_McGonagall/Severus_Snape
84,37,Hermione_Granger/Tony_Stark
85,37,Leta_Lestrange/Theseus_Scamander
86,36,Original_Female_Character/Original_Male_Character
87,36,Angelina_Johnson/George_Weasley
88,35,Lily_Evans_Potter/Sirius_Black
89,35,Hannah_Abbott/Neville_Longbottom
90,34,Fred_Weasley/George_Weasley
91,34,Hermione_Granger/Percy_Weasley
92,33,James_Potter/Original_Female_Character
93,32,Hermione_Granger/Regulus_Black
94,30,Nymphadora_Tonks/Severus_Snape
95,29,Lucius_Malfoy/Original_Female_Character
96,29,Harry_Potter/Nymphadora_Tonks
97,29,Cedric_Diggory/Hermione_Granger
98,28,Neville_Longbottom/Reader
99,28,Charlie_Weasley/Reader
