,freq,lovers
0,11538,Draco_Malfoy/Harry_Potter
1,4378,Remus_Lupin/Sirius_Black
2,1791,Harry_Potter/Severus_Snape
3,1348,Harry_Potter/Tom_Riddle
4,1025,Harry_Potter/Voldemort
5,703,Albus_Dumbledore/Gellert_Grindelwald
6,604,Bellatrix_Black_Lestrange/Hermione_Granger
7,592,Albus_Severus_Potter/Scorpius_Malfoy
8,323,Ginny_Weasley/Luna_Lovegood
9,317,Fleur_Delacour/Hermione_Granger
10,281,James_Potter/Sirius_Black
11,276,Hermione_Granger/Pansy_Parkinson
12,261,Severus_Snape/Sirius_Black
13,246,Newt_Scamander/Original_Percival_Graves
14,242,Remus_Lupin/Severus_Snape
15,232,Harry_Potter/Ron_Weasley
16,228,Oliver_Wood/Percy_Weasley
17,220,Hermione_Granger/Narcissa_Black_Malfoy
18,193,James_Potter/Regulus_Black
19,190,Draco_Malfoy/Ron_Weasley
20,179,Credence_Barebone/Original_Percival_Graves
21,165,James_Sirius_Potter/Teddy_Lupin
22,138,Harry_Potter/Sirius_Black
23,138,Ginny_Weasley/Hermione_Granger
24,131,Marcus_Flint/Oliver_Wood
25,126,Newt_Scamander/Theseus_Scamander
26,124,Lucius_Malfoy/Severus_Snape
27,120,Harry_Potter/Lucius_Malfoy
28,116,Cedric_Diggory/Harry_Potter
29,109,James_Potter/Severus_Snape
30,97,Dean_Thomas/Seamus_Finnigan
31,95,Hermione_Granger/Luna_Lovegood
32,87,Draco_Malfoy/Neville_Longbottom
33,87,Harry_Potter/Theodore_Nott
34,85,Blaise_Zabini/Harry_Potter
35,79,Ginny_Weasley/Pansy_Parkinson
36,73,Fred_Weasley/George_Weasley
37,65,Charlie_Weasley/Harry_Potter
38,65,Charlie_Weasley/Draco_Malfoy
39,64,Harry_Potter/Neville_Longbottom
40,59,George_Weasley/Harry_Potter
41,56,Godric_Gryffindor/Salazar_Slytherin
42,56,Dorcas_Meadowes/Marlene_McKinnon
43,55,Hermione_Granger/Minerva_McGonagall
44,53,Lavender_Brown/Parvati_Patil
45,52,Regulus_Black/Sirius_Black
46,51,Harry_Potter/Scorpius_Malfoy
47,51,James_Potter/Lily_Evans_Potter
48,51,Andromeda_Black_Tonks/Hermione_Granger
49,49,Draco_Malfoy/Severus_Snape
50,46,Albus_Dumbledore/Harry_Potter
51,46,Harry_Potter/Original_Male_Character
52,44,James_Sirius_Potter/Scorpius_Malfoy
53,39,Ginny_Weasley/Harry_Potter
54,37,Draco_Malfoy/Theodore_Nott
55,37,Lily_Evans_Potter/Narcissa_Black_Malfoy
56,35,Gellert_Grindelwald/Original_Percival_Graves
57,35,Fred_Weasley/Harry_Potter
58,34,Regulus_Black/Severus_Snape
59,33,Harry_Potter/Remus_Lupin
60,32,Severus_Snape/Tom_Riddle
61,31,Lucius_Malfoy/Sirius_Black
62,29,Severus_Snape/Voldemort
63,29,Draco_Malfoy/Lucius_Malfoy
64,29,Blaise_Zabini/Draco_Malfoy
65,29,Harry_Potter/Marcus_Flint
66,28,James_Potter/Tom_Riddle
67,28,Albus_Dumbledore/Newt_Scamander
68,28,Blaise_Zabini/Ron_Weasley
69,28,Bartemius_Crouch_Jr./Regulus_Black
70,28,Gilderoy_Lockhart/Severus_Snape
71,27,Gellert_Grindelwald/Newt_Scamander
72,27,Albus_Severus_Potter/James_Sirius_Potter
73,26,James_Potter/Remus_Lupin
74,26,Harry_Potter/Regulus_Black
75,26,Bill_Weasley/Harry_Potter
76,26,Harry_Potter/Tony_Stark
77,25,Neville_Longbottom/Severus_Snape
78,25,Credence_Barebone/Newt_Scamander
79,25,Cho_Chang/Luna_Lovegood
80,24,Albus_Severus_Potter/Draco_Malfoy
81,24,Hermione_Granger/Ron_Weasley
82,24,Lucius_Malfoy/Remus_Lupin
83,24,Blaise_Zabini/Theodore_Nott
84,23,Bellatrix_Black_Lestrange/Narcissa_Black_Malfoy
85,23,Harry_Potter/Teddy_Lupin
86,23,Original_Percival_Graves/Theseus_Scamander
87,23,Neville_Longbottom/Seamus_Finnigan
88,23,Ron_Weasley/Viktor_Krum
89,22,Blaise_Zabini/Neville_Longbottom
90,21,Charlie_Weasley/Neville_Longbottom
91,21,Draco_Malfoy/Original_Male_Character
92,21,Neville_Longbottom/Theodore_Nott
93,21,Cho_Chang/Ginny_Weasley
94,20,Harry_Potter/Hermione_Granger
95,19,Regulus_Black/Remus_Lupin
96,19,Original_Male_Character/Severus_Snape
97,19,Hermione_Granger/Reader
98,18,Hermione_Granger/Original_Female_Character
99,17,Draco_Malfoy/Tom_Riddle
