tag,freq
marauders,236
fluff,133
angst,127
wolfstar,107
alternate universe - modern setting,51
alternate universe - canon divergence,50
hurt/comfort,47
fluff and angst,44
established relationship,43
friends to lovers,38
alternate universe,37
romance,35
pining,35
angst with a happy ending,34
gay sirius black,33
alternate universe - non-magical,33
bisexual remus lupin,31
humor,31
marauders friendship,31
first kiss,31
first war with voldemort,29
anal sex,27
mutual pining,27
slow burn,26
hogwarts,26
smut,26
friendship,25
pov remus lupin,25
emotional hurt/comfort,24
getting together,24
light angst,23
canon compliant,22
sirius black and james potter friendship,21
alternate universe - muggle,21
pov sirius black,20
plot what plot/porn without plot,20
drabble,20
sirius black lives,19
one shot,18
remus lupin lives,17
oral sex,17
implied/referenced child abuse,17
blow jobs,17
werewolf remus lupin,17
christmas,17
swearing,16
lie low at lupin's,16
young sirius black,16
depression,16
fluff and smut,16
remus lupin needs a hug,16
coming out,16
werewolves,15
young remus lupin,15
love,15
jealousy,14
book 5,13
happy ending,13
remus lupin and lily evans potter friendship,13
fluff and humor,13
drinking,13
falling in love,12
gay,12
jily,12
gay sex,12
tooth-rotting fluff,12
anal fingering,12
domestic fluff,12
mental health issues,11
post-traumatic stress disorder,11
gay remus lupin,11
dirty talk,11
meet-cute,11
post-sirius black in azkaban,11
alternate universe - college/university,11
violence,11
explicit sexual content,11
grief/mourning,10
canonical character death,10
cute,10
friendship/love,10
sex,10
masturbation,10
post-hogwarts,10
sad,10
angst and hurt/comfort,10
mwpp,10
minor character death,9
animagus,9
emotional/psychological abuse,9
recreational drug use,9
top remus lupin,9
sexual tension,9
crack,9
rimming,9
implied sexual content,9
dom/sub,9
underage drinking,9
other additional tags to be added,9
songfic,9
heavy angst,9
book 3,8
slice of life,8
minor james potter/lily evans potter,8
short one shot,8
first time,8
anxiety,8
flirting,8
rough sex,8
pre-relationship,8
time travel,8
order of the phoenix,7
internalized homophobia,7
panic attacks,7
sirius black and lily evans potter friendship,7
song lyrics,7
eventual smut,7
frottage,7
modern marauders,7
true love,7
bisexual sirius black,7
sirius black and remus lupin raise harry potter,7
abuse,7
suicidal thoughts,7
inspired by tumblr,7
hogwarts era,7
art,7
child abuse,7
banter,7
alternate universe - harry potter setting,7
raising harry potter,7
christmas fluff,7
modern au,7
the prank,7
slash,7
post-first war with voldemort,7
harry potter was raised by remus lupin and sirius black,7
best friends,7
crushes,7
original character,6
full moon,6
physical abuse,6
past child abuse,6
comedy,6
explicit language,6
bottom sirius black,6
established sirius black/remus lupin,6
pre-canon,6
sexual content,6
protective remus lupin,6
post-battle of hogwarts,6
kissing,6
mystery,6
alternate universe - coffee shops and cafés,6
idiots in love,6
references to depression,6
self-harm,6
hurt,6
not actually unrequited love,6
love confessions,6
getting back together,6
prompt fic,6
flashbacks,6
r/s 24 hour challenge,6
angst and feels,5
book 6,5
fix-it,5
halloween,5
eventual romance,5
moony - freeform,5
post-canon,5
drama and romance,5
baby harry,5
family,5
post-war,5
texting,5
mpreg,5
drama,5
character death,5
biting,5
based on a tumblr post,5
wordcount: 100-500,5
alternate universe - high school,5
i guess,5
harry potter - freeform,5
ministry of magic,5
hand jobs,5
sharing a bed,5
praise kink,5
porn with plot,5
sort of,5
azkaban,5
alternate universe - soulmates,5
self-hatred,5
hurt remus lupin,5
porn with feeling,5
podfic,5
homophobia,5
alcohol,5
angst and fluff and smut,5
no smut,5
secret crush,5
alternate universe - everyone lives/nobody dies,5
scars,5
post-second war with voldemort,5
alternate universe - rock band,5
second war with voldemort,5
afterlife,5
implied/referenced character death,5
crack treated seriously,5
soulmate-identifying marks,5
crying,5
shameless smut,5
self-esteem issues,5
letters,4
number twelve grimmauld place,4
alcohol abuse/alcoholism,4
memories,4
kid fic,4
mild sexual content,4
podfic welcome,4
past sirius black/remus lupin,4
teacher remus lupin,4
wolfstar au,4
eventual fluff,4
drug use,4
past rape/non-con,4
past abuse,4
torture,4
nightmares,4
soulmates,4
eventual sirius black/remus lupin,4
the marauders - freeform,4
gryffindor common room,4
angst and romance,4
baby harry potter,4
family feels,4
wolfsbane potion,4
remus lupin-centric,4
strangers to lovers,4
smoking,4
walburga black's a+ parenting,4
character study,4
sirius black being an idiot,4
oneshot,4
out of character,4
minor sirius black/remus lupin,4
bestiality,4
bondage,4
hair-pulling,4
alternate universe - no voldemort,4
blood,4
secrets,4
horcruxes,4
sad sirius black,4
switching,4
semi-public sex,4
implied/referenced self-harm,4
animagi,4
wolfsbane,4
death eaters,4
past relationship,4
short and sweet,4
gay male character,4
eventual happy ending,4
wedding,4
blood and injury,4
feeling,4
misunderstanding,4
james potter is a good friend,4
first dates,4
not canon compliant,4
unhealthy relationships,4
pov first person,4
hogwarts seventh year,4
pining sirius black,4
kind of,4
unrequited love,4
male-female friendship,4
grimmauld place,4
this is why we can't have nice thing,4
light bdsm,4
alternate universe - time travel,4
collars,4
ghosts,4
first meeting,4
teacher-student relationship,4
dumbledore bashing,4
teenagers,4
getting to know each other,4
lgbtq themes,4
the marauder's map,4
get together,4
murder,4
marijuana,4
romantic friendship,4
epic friendship,4
childhood friends,4
knotting,4
love letters,3
book 4,3
anger,3
infidelity,3
trauma,3
horror,3
young james potter,3
canon divergence,3
art welcome,3
healer sirius black,3
single parent remus lupin,3
quidditch,3
muggles,3
muggle au,3
anxiety attacks,3
suicide attempt,3
