tag,freq
fluff,63
cinnamon roll newt scamander,30
hurt/comfort,25
angst,23
alternate universe - canon divergence,20
fluff and angst,20
post-movie 2: fantastic beasts: the crimes of grindelwald,20
romance,18
post-movie 1: fantastic beasts and where to find them,18
first kiss,15
newtina,14
falling in love,14
established relationship,14
alternate universe - modern setting,13
humor,12
plot what plot/porn without plot,12
kissing,11
protective newt scamander,11
sibling incest,11
friendship,11
slow burn,10
alpha/beta/omega dynamics,10
protective theseus scamander,10
emotional hurt/comfort,10
friends to lovers,9
pining,9
alternate universe,9
drama,8
anal sex,8
love confessions,8
overprotective theseus scamander,8
incest,8
family,8
dorks in love,8
hogwarts,7
first time,7
smut,7
hurt newt scamander,7
mutual pining,7
fluff and humor,7
mpreg,7
angst with a happy ending,7
oral sex,7
movie 2: fantastic beasts: the crimes of grindelwald spoilers,7
domestic fluff,7
light angst,6
masturbation,6
injury,6
implied sexual content,6
smitten original percival graves,6
movie 1: fantastic beasts and where to find them,6
age difference,6
happy ending,6
bottom newt scamander,6
dirty talk,6
canon-typical violence,5
character death,5
protective original percival graves,5
bamf newt scamander,5
how do i tag,5
married life,5
friendship/love,5
arranged marriage,5
other additional tags to be added,5
one shot,5
getting together,5
crossover,5
dark newt scamander,5
daddy kink,5
newt is a dork,5
autistic newt scamander,5
theseus scamander is a good sibling,5
grief/mourning,5
adorable newt scamander,5
angst and hurt/comfort,5
out of character,5
family fluff,5
pwp,5
top theseus scamander,5
protective newt,5
war,4
adventure,4
eventual romance,4
marriage proposal,4
alternate universe - soulmates,4
sharing a bed,4
vaginal sex,4
eventual relationships,4
slow build,4
love,4
secrets,4
cute,4
not canon compliant,4
christmas,4
rimming,4
protective tina goldstein,4
brothers,4
awkward flirting,4
blood,4
newt scamander needs a hug,4
oneshot,4
explicit sexual content,4
dubious consent,4
sibling love,4
spoilers,4
character study,4
post-canon,4
bottom newt,4
smitten grindelwald,4
praise kink,4
brotherly love,4
light bdsm,4
protective queenie goldstein,4
fluff and smut,4
new york,3
kidnapping,3
manipulation,3
torture,3
drama and romance,3
action/adventure,3
hurt original percival graves,3
first dates,3
pregnancy,3
accidental voyeurism,3
biting,3
sex toys,3
original percival graves needs a hug,3
mild hurt/comfort,3
family feels,3
abo,3
oblivious newt,3
strangers to lovers,3
kiss,3
adorable,3
romantic fluff,3
alternate universe - college/university,3
original character,3
rape/non-con elements,3
seduction,3
world war i,3
sad,3
i don't even know,3
healing,3
cuddling and snuggling,3
time travel,3
comfort,3
original percival graves is bad at feeling,3
newt scamander is a sweetheart,3
past child abuse,3
tooth-rotting fluff,3
newtina appreciation month,3
misunderstanding,3
中文翻译 / translation in chinese,3
i will go down with this ship,3
mildly dubious consent,3
possessive behavior,3
crossdressing,3
emotional manipulation,3
betrayal,3
sex,3
porn with plot,3
canonical character death,3
fingering,3
best friends,3
movie 2: fantastic beasts: the crimes of grindelwald,3
post-traumatic stress disorder,3
i'm sorry,3
i wrote this instead of sleeping,3
handjob,3
vaginal fingering,3
deaf character,3
deaf percival graves,3
alternate universe - non-magical,3
married tina goldstein/newt scamander,3
christmas fluff,3
sibling bonding,3
protective sibling,3
fluff and hurt/comfort,3
true love,3
light dom/sub,3
violence,3
missing scene,3
original percival graves is a softie,3
minor queenie goldstein/jacob kowalski,3
first meeting,3
jealousy,3
rough sex,3
anal fingering,3
