tag,freq
romance,117
angst,95
alternate universe - canon divergence,67
fluff,67
alternate universe,66
severus snape lives,52
smut,50
hurt/comfort,48
slow burn,42
drama,41
humor,40
marauders,36
anal sex,36
established relationship,35
mpreg,32
good severus snape,32
teacher-student relationship,29
explicit sexual content,28
severus snape has a heart,28
fluff and angst,27
sex,27
bottom severus snape,27
post-war,26
harry potter epilogue what epilogue / ewe,25
time travel,24
oral sex,24
slash,24
friendship,22
christmas,21
implied/referenced child abuse,20
violence,20
rape/non-con elements,20
hogwarts,19
one shot,19
spanking,19
manipulative albus dumbledore,18
eventual romance,17
ron weasley bashing,17
rough sex,17
first time,17
anal fingering,17
angst with a happy ending,16
out of character,16
post-hogwarts,16
torture,15
love,15
child abuse,15
eventual smut,15
fluff and smut,15
post-traumatic stress disorder,15
snarry,15
drama and romance,14
past child abuse,14
happy ending,14
pov severus snape,14
plot what plot/porn without plot,14
other additional tags to be added,14
sexual content,13
potions,13
original character,13
slow build,13
fluff and humor,13
rimming,13
friendship/love,12
top severus snape,12
minor character death,12
voyeurism,12
mentor severus snape,12
blow jobs,12
complete,12
dubious consent,12
dumbledore bashing,12
animagus,11
masturbation,11
family,11
age difference,11
depression,11
character death,11
suicidal thoughts,11
drabble,11
dirty talk,11
bdsm,11
unrequited love,11
early work,11
introspection,11
canonical character death,11
friends to lovers,10
canon compliant,10
falling in love,10
pining,10
magic,10
albus dumbledore bashing,10
loss of virginity,10
grief/mourning,10
art,10
angst and hurt/comfort,10
severitus / severus snape is harry potter's parent,10
post-canon,10
crack,10
top harry potter,10
emotional hurt/comfort,10
alternate universe - non-magical,10
secret snarry swap 2018,10
pwp,10
lily evans potter and severus snape friendship,9
past abuse,9
bottom harry,9
soulmates,9
dom/sub,9
creature fic,9
age regression/de-aging,9
explicit language,9
alternate universe - harry potter setting,9
alpha/beta/omega dynamics,9
pre-slash,9
death eaters,9
dark,8
domestic fluff,8
not canon compliant,8
pregnancy,8
time turner,8
young severus snape,8
secret relationship,8
family fluff,8
abuse,8
first kiss,8
past relationship,8
underage sex,8
gay sex,8
not epilogue compliant,8
snarry-a-thon19,8
hp: ewe,8
snarry-a-thon18,8
light angst,7
punishment,7
dark magic,7
vaginal sex,7
soul bond,7
good lucius malfoy,7
death,7
secrets,7
past rape/non-con,7
male slash,7
bondage,7
good slytherins,7
rape,7
legilimency,7
vampires,7
post-battle of hogwarts,7
rape recovery,7
references to depression,7
vaginal fingering,7
dildos,7
book 3,6
ministry of magic,6
implied/referenced self-harm,6
teasing,6
emotional/psychological abuse,6
not canon compliant - harry potter and the deathly hallows,6
slice of life,6
reader-insert,6
good tom riddle,6
slytherin,6
enemies to lovers,6
pov first person,6
cross-posted on fanfiction.net,6
loss,6
porn with feeling,6
sub severus snape,6
kissing,6
self-harm,6
war,6
bullying,6
hermione granger bashing,6
evil albus dumbledore,6
hurt,6
implied/referenced suicide,6
mental health issues,6
ficlet,6
true love,6
hogwarts eighth year,6
перевод на русский / translation in russian,6
getting together,6
suicide attempt,6
implied/referenced rape/non-con,6
homophobia,6
fingering,6
light bondage,6
christmas fluff,6
shameless smut,6
exhibitionism,6
knotting,6
internalized homophobia,5
marauders friendship,5
alternate universe - hogwarts,5
first war with voldemort,5
book 4,5
book 5,5
banter,5
horcruxes,5
lily evans potter lives,5
creampie,5
headmaster severus snape,5
possessive behavior,5
alternate universe - soulmates,5
sarcasm,5
werewolves,5
work in progress,5
molly weasley bashing,5
sexual tension,5
cunnilingus,5
creature harry potter,5
severitus,5
alternate universe - dark,5
threesome - m/m/m,5
comedy,5
time travel fix-it,5
tags may change,5
past hermione granger/ron weasley,5
marriage,5
no plot/plotless,5
fanart,5
occlumency,5
swearing,5
unplanned pregnancy,5
weasley bashing,5
harry potter - freeform,5
severus snape - freeform,5
polyamory,5
female harry potter,5
physical abuse,5
good dark side,5
post-second war with voldemort,5
semi-public sex,5
memory loss,5
light dom/sub,5
sirius black lives,5
birthday,5
shower sex,5
classroom sex,5
detention,5
implied sexual content,5
dumbledore's army,5
pov hermione granger,5
top harry,5
alpha severus snape,5
biting,5
feels,4
love triangles,4
enemies to friends to lovers,4
mild sexual content,4
bestiality,4
alternate universe - voldemort wins,4
twins,4
book 6,4
book 7,4
anxiety,4
protective severus snape,4
psychological torture,4
forgiveness,4
baby harry,4
psychological trauma,4
magically powerful harry potter,4
sane tom riddle,4
implied mpreg,4
bottom harry potter,4
kid fic,4
patronus,4
ewe,4
family feels,4
slytherin harry potter,4
father-son relationship,4
good draco malfoy,4
nipple play,4
hogwarts seventh year,4
rating may change,4
slow romance,4
mpreg harry,4
disability,4
non-canon relationship,4
healing,4
adoption,4
politics,4
humiliation,4
murder,4
alcohol abuse/alcoholism,4
female severus snape,4
hogwarts sixth year,4
misunderstanding,4
virgin severus snape,4
public sex,4
not beta read,4
love confessions,4
hogwarts third year,4
smart harry potter,4
parseltongue,4
crossover,4
arranged marriage,4
blood,4
physical disability,4
recovery,4
wall sex,4
butt plugs,4
sex toys,4
amnesia,4
het,4
secret identity,4
dancing,4
eventual happy ending,4
naked cuddling,4
self-hatred,4
emotional hurt,4
jealousy,4
betrayal,4
implied slash,4
mildly dubious consent,4
lust,4
desk sex,4
oneshot,4
alpha/omega,4
sexy times,4
anal plug,4
soulmate-identifying marks,4
hogwarts era,4
snamione,4
good malfoy family,4
infidelity,4
outdoor sex,4
hand jobs,4
rough oral sex,4
attempt at humor,4
freeform,4
size kink,4
noncon,4
idiots in love,3
flashbacks,3
heavy angst,3
ilvermorny,3
hogwarts professors,3
emotional baggage,3
platonic relationships,3
minor original character,3
wizarding politics,3
master/slave,3
somebody lives/not everyone dies,3
consensual underage sex,3
consensual sex,3
possessive severus snape,3
potter,3
not canon compliant - harry potter and the half-blood prince,3
no smut,3
kidnapping,3
pov alternating,3
character study,3
post-first war with voldemort,3
pacifiers,3
good voldemort,3
littles are known,3
book 1,3
angst and fluff and smut,3
severus snape-centric,3
porn with plot,3
virgin harry,3
abusive dursley family,3
domestic violence,3
injury recovery,3
child neglect,3
accidental voyeurism,3
creature severus snape,3
near death experiences,3
emotional manipulation,3
blood and gore,3
powerful harry potter,3
dark harry potter,3
gryffindor,3
poisoning,3
necromancy,3
fluffy,3
bamf hermione granger,3
mutual pining,3
mystery,3
unrequited crush,3
alternate universe - everyone lives/nobody dies,3
revenge,3
implied/referenced torture,3
snames,3
wolfstar,3
jeverus,3
older man/younger woman,3
trauma,3
conversations,3
addiction,3
verbal abuse,3
mind manipulation,3
sexual abuse,3
good death eaters,3
shy severus snape,3
wrong boy-who-lived,3
missing scene,3
orgasm control,3
orgasm delay/denial,3
kink negotiation,3
singing,3
drug use,3
hair-pulling,3
alpha harry potter,3
omega severus snape,3
insecure severus snape,3
manipulation,3
battle of hogwarts,3
the author regrets nothing,3
major original character,3
powerful harry,3
fluff and crack,3
reader-interactive,3
secret snarry swap 2019,3
auror harry potter,3
alternate universe - student/teacher,3
recreational drug use,3
drunk sex,3
wordcount: 100-500,3
the deathly hallows,3
melancholy,3
letters,3
regret,3
children,3
drinking,3
alternate universe - always a different sex,3
awkward romance,3
character bashing,3
quidditch,3
porn,3
teenagers,3
sub harry potter,3
dom severus snape,3
sickfic,3
severus snape adopts harry potter,3
spy severus snape,3
azkaban,3
discussion of abortion,3
declarations of love,3
incest,3
illnesses,3
wedding,3
slytherins being slytherins,3
dom harry potter,3
sacrifice,3
action and romance,3
manipulative dumbledore,3
sort of,3
bittersweet,3
teen romance,3
daddy kink,3
light bdsm,3
sad,3
implied/referenced homophobia,3
whipping,3
forbidden love,3
alternate universe - time travel,3
sharing a bed,3
bad dumbledore,3
horror,3
mild language,3
cock ring,3
memories,3
hogwarts first year,3
holidays,3
blowjobs,3
halloween,3
the quidditch league fanfiction competition,3
alternate universe - modern setting,3
what-if,3
wanking,3
