tag,freq
marauders,107
fluff,51
alternate universe - modern setting,35
alternate universe - canon divergence,31
angst,31
alternate universe - muggle,28
jily,27
romance,24
friendship,23
first war with voldemort,19
humor,19
hogwarts,18
established relationship,17
marauders friendship,14
alternate universe,13
hurt/comfort,13
slow burn,12
canon compliant,11
fluff and angst,11
pining,10
alternate universe - no voldemort,10
fluff and humor,10
meet-cute,9
friends to lovers,8
implied/referenced child abuse,8
crack,8
alternate universe - college/university,8
drama,8
christmas,8
mpreg,7
wolfstar,7
james potter lives,7
muggle au,7
mutual pining,7
canonical character death,7
one shot,7
minor character death,6
alternate universe - soulmates,6
best friends,6
fake/pretend relationship,6
getting together,6
ficlet,6
light angst,5
enemies to lovers,5
harry potter - freeform,5
other additional tags to be added,5
order of the phoenix,5
quidditch,5
violence,5
depression,5
time travel,5
adventure,5
wrong boy-who-lived,5
jilytober 2018,5
unrequited love,5
soulmates,5
modern marauders,5
jealousy,5
bamf lily evans potter,5
drabble,5
first meeting,5
short one shot,5
friendship/love,4
idiots in love,4
teen romance,4
secret relationship,4
texting,4
the marauder's map,4
the marauders - freeform,4
child abuse,4
anxiety,4
alternate universe - everyone lives/nobody dies,4
parseltongue,4
sirius black and james potter friendship,4
social media,4
friends with benefits,4
smut,4
not canon compliant,4
minor sirius black/remus lupin,4
time skips,4
valentine's day,4
angst with a happy ending,4
baby harry potter,4
anal sex,4
early work,4
silly,4
grief/mourning,4
happy ending,4
social media au,4
misunderstanding,4
wizarding politics,4
originally posted on tumblr,4
feels,3
summer,3
indian james potter,3
canon rewrite,3
alternate universe - high school,3
original character,3
pureblood culture,3
implied/referenced rape/non-con,3
implied/referenced character death,3
pureblood society,3
magical theory,3
mental health issues,3
sirius black as padfoot,3
child neglect,3
adventure and romance,3
married couple,3
slytherin harry potter,3
war,3
pov remus lupin,3
how do i tag,3
based on a tumblr post,3
childhood friends,3
kissing,3
snogging,3
snames,3
jeverus,3
no plot/plotless,3
alpha/beta/omega dynamics,3
eventual romance,3
songfic,3
banter,3
sad,3
blackinnon,3
domestic fluff,3
hogwarts seventh year,3
slash,3
alternate universe - no powers,3
tumblr prompt,3
crushes,3
unrequited crush,3
slow build,3
panic attacks,3
emotional hurt,3
baby harry,3
enemies to friends to lovers,3
plot what plot/porn without plot,3
short,3
co-workers,3
past james potter/lily evans potter,3
alternate universe - non-magical,3
remus lupin and lily evans potter friendship,3
jily challenge,3
awkwardness,3
polyamory,3
magic,3
canon-typical violence,3
transgender,3
wizarding world,3
christmas fluff,3
alternate universe - coffee shops and cafés,3
lily evans potter and severus snape friendship,3
post-hogwarts,3
