tag,general,teen,mature,explicit,notrated
young tom riddle,21,25,18,18,18
manipulative tom riddle,0,29,43,21,7
dubious morality,0,45,18,36,0
politics,7,28,40,21,5
abusive parents,0,67,17,0,17
abusive relationships,8,25,50,8,8
moral ambiguity,7,29,29,36,0
parseltongue,10,35,25,18,12
suspense,6,19,56,0,19
unreliable narrator,0,27,45,27,0
severitus,30,20,20,10,20
abused harry potter,8,31,31,8,23
prophecy,6,35,35,24,0
hogwarts au,41,12,6,24,18
non-consensual body modification,0,27,36,36,0
mirror of erised,31,31,6,19,12
black hermione granger,19,35,23,8,15
jewish character,10,60,30,0,0
wedding,38,33,12,17,0
werewolf mates,10,30,40,20,0
mating bond,10,0,30,50,10
character bashing,12,29,33,17,8
slytherin hermione granger,0,36,18,36,9
hermione granger and harry potter friendship,21,21,29,21,7
angst and romance,0,41,23,27,9
healer harry potter,8,15,31,38,8
christmas,36,33,13,9,8
pwp without porn,0,0,30,60,10
miscarriage,18,9,45,27,0
omega harry potter,0,20,40,40,0
cannibalism,0,0,50,42,8
sibling incest,0,16,19,53,12
hufflepuff pride,38,8,8,15,31
snakes,43,29,14,7,7
art,51,22,9,14,5
rating may change,12,46,31,4,8
autistic harry potter,10,80,10,0,0
complete,15,21,28,33,3
light bdsm,0,3,23,72,3
triad - freeform,9,27,45,18,0
young gellert grindelwald,20,13,33,20,13
young albus dumbledore,31,6,25,25,12
rough kissing,0,0,36,64,0
drunkenness,18,18,0,55,9
drunken confessions,18,18,36,27,0
spells and enchantments,9,27,27,36,0
safe sane and consensual,0,0,8,92,0
consent,9,18,18,55,0
world travel,9,36,9,27,18
christmas fluff,38,32,13,9,8
christmas eve,37,26,16,16,5
christmas smut,0,0,27,64,9
harry potter has a twin,13,33,27,7,20
wrong boy-who-lived,10,34,31,7,17
transphobia,36,27,18,9,9
matchmaking,29,57,14,0,0
smart harry,11,28,44,6,11
ravenclaw harry potter,25,33,17,8,17
verbal abuse,0,25,33,33,8
magical creatures,14,43,29,7,7
kinda,25,43,4,7,21
alternate universe - dark,0,25,50,25,0
healers,30,20,30,10,10
snarry,6,18,29,47,0
age difference,7,27,15,47,5
alpha/omega,4,4,39,48,4
mating cycles/in heat,0,0,12,88,0
knotting,0,0,8,92,0
protective harry potter,0,25,25,42,8
post war,29,38,19,10,5
amnesia,20,47,7,13,13
betrayal,22,28,19,28,3
quidditch player ginny weasley,7,7,50,29,7
oblivious harry,15,44,19,7,15
drarry discord writers corner drabble challenge,39,32,18,6,4
hogwarts first year,54,33,4,2,6
male-female friendship,52,13,13,9,13
child neglect,11,37,26,11,16
hermione granger is a good friend,23,27,27,9,14
asexual character,17,50,13,10,10
harry potter has post-traumatic stress disorder,7,47,20,7,20
alternate universe - reincarnation,19,44,12,19,6
sibling,41,29,12,0,18
break up,27,30,23,10,10
accidental voyeurism,0,0,31,69,0
sexual fantasy,6,0,56,38,0
hogwarts library,27,36,18,9,9
forced marriage,8,15,0,62,15
denial,6,47,41,6,0
do not copy to another site,38,15,31,8,8
strangers to lovers,10,25,15,40,10
wizards,42,38,12,8,0
past hermione granger/ron weasley,0,32,32,37,0
alternate universe - fantasy,28,33,11,28,0
rituals,16,16,37,21,11
ambiguous/open ending,21,29,24,17,10
gryffindor,31,36,13,5,15
alternate universe - royalty,8,62,23,0,8
timeline what timeline,0,25,50,17,8
romantic soulmates,21,37,11,16,16
harry is a little shit,22,33,17,6,22
action and romance,9,36,27,18,9
minor harry potter/ginny weasley,10,60,30,0,0
draco malfoy in the muggle world,31,27,15,23,4
sibling bonding,41,12,6,12,29
humiliation,0,0,16,80,4
no sex,10,40,40,0,10
necromancy,0,53,18,18,12
tropes,30,20,40,10,0
self-insert,14,36,36,0,14
transfiguration,10,20,20,30,20
love at first sight,13,27,7,33,20
declarations of love,33,29,14,14,10
dom harry potter,0,6,50,44,0
sub draco malfoy,0,12,19,62,6
metamorphmagus,39,17,11,28,6
injury recovery,25,17,8,25,25
5+1 thing,20,40,13,7,20
dimension travel,8,46,18,10,18
power dynamics,0,12,35,46,8
alternate timelines,17,25,8,25,25
feeling,23,23,23,23,8
werewolf,17,33,33,17,0
cheating,0,33,20,47,0
party,9,55,18,18,0
fingering,0,0,16,84,0
crossovers and fandom fusions,37,32,11,13,8
age regression/de-aging,22,43,9,4,22
protective draco malfoy,0,10,30,50,10
plotbunnies,55,27,9,9,0
scorbus,50,15,10,15,10
alternate universe - historical,10,29,38,14,10
wizarding traditions,20,20,33,13,13
no horcruxes,8,38,46,0,8
tags are hard,33,33,7,0,27
sleepy cuddles,50,6,12,12,19
cuddling and snuggling,23,29,14,20,14
studying,50,30,20,0,0
mild hurt/comfort,30,45,5,10,10
james potter lives,12,42,19,15,12
no plot/plotless,29,18,6,35,12
ficlet,63,22,1,9,4
non-consensual drug use,0,6,47,47,0
implied/referenced drug use,0,27,33,27,13
amortentia,33,40,27,0,0
cinnamon roll newt scamander,22,44,11,8,14
injury,19,44,19,6,12
oneshot,39,20,14,14,12
short,33,44,0,6,17
sweet,36,29,14,21,0
alternate universe - canon,27,73,0,0,0
podfic and podficced works,50,17,33,0,0
audio format: streaming,60,20,0,10,10
audio format: mp3,55,27,0,9,9
christmas fic,40,10,30,10,10
no beta we die like men,27,35,12,19,8
pranks and practical jokes,38,46,0,12,4
stalking,0,43,29,21,7
veritaserum,10,30,30,0,30
my first fanfic,15,40,10,5,30
fanart,54,11,10,16,9
older characters,29,41,18,12,0
past harry potter/ginny weasley,7,41,33,19,0
past astoria greengrass/draco malfoy,20,20,40,20,0
fairy tale elements,36,36,14,0,14
harry potter au,25,30,5,15,25
temporary character death,8,17,33,33,8
wizengamot,30,40,20,10,0
this is why we can't have nice thing,21,50,0,7,21
digital art,62,14,7,10,7
head girl hermione granger,27,27,36,9,0
biting,0,0,17,72,10
magical tattoos,10,30,20,30,10
the deathly hallows,4,37,26,15,19
invisibility cloak,18,27,0,36,18
dark hermione granger,6,39,33,22,0
protective original percival graves,7,40,7,40,7
detention,40,15,15,25,5
rivalry,0,70,20,0,10
stockholm syndrome,0,11,42,37,11
introspection,70,19,7,1,1
based on a tumblr post,62,15,12,0,12
inspired by tumblr,78,11,11,0,0
wordcount: 100-500,88,8,4,0,0
second chances,17,25,17,25,17
canon universe,31,31,8,0,31
touch-starved,18,55,0,27,0
rain,17,33,8,33,8
fights,31,15,38,8,8
hair-pulling,0,0,36,64,0
yule ball,40,30,13,3,13
minor seamus finnigan/dean thomas,40,0,20,20,20
tragedy,9,41,32,18,0
light bondage,0,0,26,71,3
size kink,0,0,19,71,10
awkward romance,27,20,33,13,7
post hogwarts au,18,27,18,0,36
attempt at humor,23,43,14,11,9
implied/referenced cheating,12,24,24,24,18
protective newt scamander,31,38,0,0,31
period-typical homophobia,0,27,45,9,18
spies and secret agents,8,33,25,17,17
cross-generation relationship,18,18,18,36,9
orgasm delay/denial,0,0,0,96,4
blindfolds,0,0,8,83,8
old fic,80,10,10,0,0
ministry of magic employee draco malfoy,8,46,31,8,8
like,0,60,10,10,20
top harry,5,16,21,53,5
mild language,12,56,28,0,5
fluffy,26,32,16,11,16
maybe - freeform,20,40,10,20,10
mind manipulation,7,7,21,64,0
facials,0,0,0,100,0
barebacking,0,0,0,100,0
masturbation in shower,0,0,10,90,0
pining harry potter,20,0,10,50,20
riding,0,0,0,90,10
orgy,0,0,8,83,8
unrequited crush,22,56,6,6,11
young love,29,36,14,14,7
everyone is gay,28,33,11,6,22
but not really,14,36,7,21,21
doggy style,0,0,0,91,9
epic friendship,62,8,15,8,8
fem!harry,25,31,25,12,6
the burrow,37,37,0,21,5
alternate universe - no powers,21,42,11,26,0
clubbing,9,18,18,55,0
running away,20,30,20,20,10
established draco malfoy/harry potter,10,50,20,20,0
hogwarts second year,25,42,8,0,25
alternate universe - different first meeting,46,31,15,8,0
hopeful ending,9,52,26,9,4
platonic soulmates,42,33,8,0,17
pain,50,15,10,20,5
missing scene,60,23,5,7,5
ficlet collection,42,21,5,11,21
head auror harry potter,19,6,25,50,0
bamf minerva mcgonagall,15,38,46,0,0
awkward sexual situations,0,8,17,67,8
aged-up character,0,18,36,36,9
goblins,20,10,60,10,0
teen angst,14,64,14,0,7
beauxbatons,10,30,40,10,10
sorry not sorry,17,30,13,26,13
canon gay relationship,24,41,24,6,6
post hogwarts,9,36,27,18,9
slurs,0,40,30,20,10
idk - freeform,7,33,20,27,13
polyjuice potion,10,10,43,38,0
post-coital cuddling,0,10,30,60,0
nsfw,0,0,8,92,0
snark,8,62,8,23,0
fanfiction,36,29,0,21,14
fun,20,40,0,20,20
reconciliation,18,45,27,9,0
podfic length: 0-10 minutes,57,21,14,0,7
valentine's day,29,52,5,10,5
minor injuries,10,40,40,0,10
past sexual abuse,7,14,36,29,14
smitten original percival graves,0,70,10,20,0
femslash february,40,30,30,0,0
nudity,5,20,25,40,10
discord: bellamione cult,9,26,48,9,9
innuendo,0,55,27,9,9
the quidditch league fanfiction competition,18,82,0,0,0
don't copy to other sites,25,19,19,38,0
graphic description,0,0,50,50,0
romantic friendship,50,14,21,7,7
insanity,7,53,13,13,13
post-break up,21,43,14,14,7
grindeldore,20,30,30,0,20
time skips,30,35,20,5,10
sexual humor,0,33,33,33,0
bad flirting,40,40,20,0,0
loneliness,33,33,7,13,13
newtina,53,18,18,6,6
face-fucking,0,0,0,92,8
dildos,0,0,0,100,0
roleplay,0,0,50,50,0
crying,17,41,10,21,10
psychological drama,0,0,55,36,9
master of death,6,53,12,18,12
the author regrets everything,25,42,17,17,0
chocolate,9,27,0,45,18
grey harry,0,40,30,10,20
originally posted on tumblr,33,38,10,10,10
blowjobs,0,0,0,100,0
winter,57,14,14,5,10
food,20,50,0,20,10
babies,36,27,27,9,0
gift fic,17,42,21,21,0
conversations,42,25,17,8,8
sexual violence,0,0,25,75,0
double penetration,0,0,16,79,5
bisexual ginny weasley,30,40,20,10,0
why did i write this,26,32,21,21,0
mistletoe,29,38,21,8,4
snow,52,17,9,4,17
next generation,50,17,0,33,0
duelling,42,26,11,21,0
slight angst,18,36,9,36,0
embarrassment,40,30,10,10,10
bottom draco,0,12,18,71,0
suomi / finnish,55,0,36,9,0
prompt fic,33,38,17,5,7
the sorting hat,54,23,15,0,8
families of choice,27,27,20,7,20
orphanage,20,60,0,0,20
abandoned work - unfinished and discontinued,16,58,0,16,11
sad draco malfoy,36,9,18,27,9
veela draco malfoy,5,9,32,41,14
mental instability,0,23,31,23,23
forbidden love,19,38,5,29,10
sadism,0,0,40,60,0
brother/brother incest,0,8,50,25,17
strong female characters,0,9,64,9,18
fluff without plot,58,17,8,8,8
rough oral sex,0,0,14,81,5
relationship,21,26,21,26,5
implied/referenced domestic violence,9,18,55,18,0
brotherly love,45,40,0,0,15
sibling love,23,38,8,0,31
threesome - f/f/m,5,5,15,75,0
secret crush,21,55,10,7,7
animagi,20,50,20,10,0
please don't hate me,17,33,17,0,33
complicated relationships,0,50,25,17,8
mythical beings and creatures,23,32,27,18,0
autistic luna lovegood,30,60,0,0,10
butt plugs,0,0,0,100,0
brothers,53,24,6,12,6
blowjob,0,0,25,75,0
i tried,15,38,23,0,23
sapphic september,7,93,0,0,0
tea,21,21,14,29,14
early work,83,17,0,0,0
witches,21,29,21,21,7
witchcraft,17,8,33,33,8
sad ending,15,40,5,15,25
pov second person,59,6,24,12,0
bittersweet,33,28,11,17,11
marriage law,15,38,38,8,0
oblivious draco malfoy,8,46,23,15,8
tattoos,21,32,11,32,5
kiss,25,44,6,19,6
afterlife,23,54,0,8,15
bad dumbledore,18,27,18,9,27
pet names,0,14,14,57,14
christmas party,33,37,19,11,0
prompt fill,33,47,0,20,0
crushes,28,44,4,16,8
sickfic,38,31,0,8,23
baking,50,29,7,7,7
reunions,25,50,6,12,6
resolved sexual tension,0,15,31,54,0
coffee shops,33,33,8,17,8
plot twists,0,27,64,9,0
raising harry potter,30,30,30,0,10
outdoor sex,0,0,8,92,0
engagement,8,54,15,15,8
one-sided attraction,24,41,6,12,18
minor luna lovegood/ginny weasley,17,33,25,0,25
grief,18,27,9,18,27
overprotective theseus scamander,18,64,9,9,0
protective theseus scamander,31,31,15,0,23
wanking,0,0,20,80,0
porn,0,0,4,96,0
adultery,0,15,31,46,8
pre-hogwarts,33,33,14,10,10
christmas presents,40,40,20,0,0
books,30,50,20,0,0
insecurity,41,29,12,12,6
come swallowing,0,0,0,92,8
confessions,14,43,7,29,7
post-movie 1: fantastic beasts and where to find them,15,35,15,15,20
post-movie 2: fantastic beasts: the crimes of grindelwald,35,31,12,0,23
childhood,50,30,10,0,10
domestic,48,22,22,4,4
harems,0,0,25,75,0
bickering,31,54,8,0,8
supernatural elements,0,30,30,20,20
future fic,27,55,0,9,9
magical accidents,20,30,20,10,20
divination,9,55,18,18,0
seriously,0,60,20,0,20
desk sex,0,0,27,73,0
courtship,10,20,30,30,10
modern au,33,33,7,27,0
drarropoly: a drarry game/fest,44,25,12,12,6
song fic,33,33,0,7,27
halloween costumes,10,30,30,20,10
headcanon,20,20,20,0,40
grimmauld place,24,24,12,29,12
fluffy ending,33,33,8,12,12
minister for magic hermione granger,45,18,18,18,0
whumptober 2019,0,43,57,0,0
female harry,7,27,13,33,20
drarryland: a drarry game/fest,29,50,7,14,0
wordcount: 100,53,27,13,0,7
world war i,0,50,20,20,10
felix felicis,40,40,0,20,0
wedding fluff,62,31,0,8,0
boyfriends,30,10,20,10,30
flash fic,77,15,8,0,0
pov outsider,20,50,0,30,0
community: hp_drizzle,25,25,25,25,0
slavery,0,21,21,43,14
mwpp,38,38,0,15,8
bellamione cult discord game,10,40,50,0,0
dark lord harry potter,9,9,55,18,9
genderbending,12,31,6,31,19
video game: harry potter: hogwarts mystery,45,41,5,0,9
sibling rivalry,21,43,29,0,7
secret snarry swap 2018,20,30,10,40,0
h/d erised 2018,25,17,17,42,0
community: hd_erised,25,17,17,42,0
shipmas 2018,40,50,10,0,0
h/d food fair 2018,7,29,14,43,7
