tag,general,teen,mature,explicit,notrated
albus dumbledore bashing,13,29,33,9,16
manipulative albus dumbledore,7,37,36,8,12
minor draco malfoy/harry potter,18,27,27,27,0
evil albus dumbledore,11,39,28,11,11
bad albus dumbledore,8,25,33,25,8
i'm bad at tagging,25,43,7,7,18
book 1,35,42,7,7,9
other additional tags to be added,11,35,26,13,15
hermione granger bashing,21,23,26,10,21
ron weasley bashing,16,24,30,17,12
one shot,34,27,14,14,11
hogwarts express,50,33,6,11,0
pov severus snape,11,22,44,22,0
mystery,6,42,28,17,6
dementors,17,35,22,9,17
soulmates,16,35,25,15,10
soul bond,11,27,33,27,2
mpreg harry,0,18,27,55,0
teen pregnancy,0,23,31,31,15
emotional hurt/comfort,21,30,21,13,14
slytherins being slytherins,22,28,28,16,6
slytherin harry potter,16,38,24,10,12
pureblood culture,19,35,30,14,2
pureblood society,15,32,38,12,3
pureblood politics,8,46,35,11,0
sane tom riddle,8,32,34,18,8
riddle at hogwarts era,10,20,30,20,20
no beta,0,55,9,27,9
alternate universe - hogwarts,26,41,14,6,12
post-war,17,30,27,19,7
imprisonment,0,31,31,15,23
death eater draco malfoy,14,21,14,29,21
memory loss,22,25,28,17,8
eventual romance,10,23,33,28,6
rape,0,3,36,59,3
self harm,20,10,20,10,40
slow build,9,33,24,26,8
podfic,49,22,14,14,3
molly weasley bashing,18,28,22,12,20
good voldemort,0,38,38,15,8
female harry potter,13,33,30,12,12
dark harry potter,9,30,38,14,9
worldbuilding,15,38,35,9,3
legilimency,10,37,23,20,10
desi harry potter,12,62,19,0,6
time travel,17,33,25,13,12
alternate universe - time travel,22,22,31,11,13
funny,35,39,6,6,13
fluff and humor,29,41,17,7,7
angst and humor,15,42,15,21,6
death,9,33,27,17,14
heartbreak,22,26,26,13,13
triggers,0,36,36,18,9
denial of feeling,16,48,28,4,4
gay male character,13,9,43,26,9
secret relationship,13,37,15,26,9
protective sibling,24,29,6,6,35
gay sex,0,3,26,65,6
threesome - m/m/m,4,9,19,66,2
dark magic,8,31,40,18,3
domestic violence,0,29,33,29,8
ravenclaw hermione granger,17,33,25,8,17
severus snape has a heart,18,29,27,16,11
i'm sorry,19,42,15,12,12
book 7,21,36,16,14,14
second war with voldemort,24,48,16,8,4
bamf lily evans potter,7,36,43,0,14
action/adventure,11,38,30,16,5
protective remus lupin,33,42,17,8,0
slash,11,17,35,29,9
emotional manipulation,3,6,45,36,9
violence,2,18,43,30,6
drama,17,35,31,14,4
