,Harry_Potter,Draco_Malfoy,Sirius_Black,Remus_Lupin,Severus_Snape,Newt_Scamander,Original_Percival_Graves,Gellert_Grindelwald,Albus_Dumbledore,Hermione_Granger,Tom_Riddle,Scorpius_Malfoy,Albus_Severus_Potter,Voldemort,Credence_Barebone,Ginny_Weasley,Theseus_Scamander,Ron_Weasley,Luna_Lovegood,James_Potter,Pansy_Parkinson,Bellatrix_Black_Lestrange,Oliver_Wood,James_Sirius_Potter,Neville_Longbottom,Lucius_Malfoy,Teddy_Lupin,Blaise_Zabini,Marcus_Flint,Charlie_Weasley,Narcissa_Black_Malfoy,Regulus_Black,Seamus_Finnigan,Percy_Weasley,Dean_Thomas,Fleur_Delacour,Original_Male_Character,Theodore_Nott,Cedric_Diggory,Minerva_McGonagall,Lily_Evans_Potter,Lavender_Brown,Nymphadora_Tonks,George_Weasley,Cho_Chang,Kingsley_Shacklebolt,Original_Character,Parvati_Patil,Gellert_Grindelwald_pretending_Percival_Graves
James_Potter,12,2,196,15,64,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,35,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0
Pansy_Parkinson,0,1,0,0,0,0,0,0,0,168,0,0,0,0,0,80,0,1,26,0,0,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,4,0
Bellatrix_Black_Lestrange,1,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Oliver_Wood,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,5,0,0,1,107,1,0,1,1,9,0,0,0,0,2,0,0,0,0,0
James_Sirius_Potter,0,17,1,2,0,0,0,0,0,0,0,65,17,0,0,0,0,1,0,0,0,0,0,0,1,0,150,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Neville_Longbottom,43,71,0,7,9,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,32,1,21,0,1,5,1,1,0,2,15,0,0,0,0,0,1,0,1,0,0,0
Lucius_Malfoy,59,13,24,10,72,0,0,0,0,0,2,0,0,5,0,0,0,4,0,8,0,1,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Teddy_Lupin,11,3,1,0,1,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,150,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blaise_Zabini,60,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,2,0,0,0,32,0,0,0,0,1,0,0,1,0,8,0,0,20,1,0,0,0,0,1,0,0,0,0,0
Marcus_Flint,11,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136,0,1,0,0,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
Charlie_Weasley,50,43,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,21,2,3,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,2,0,1,0,0,0
Narcissa_Black_Malfoy,0,2,0,0,0,0,0,0,0,79,0,0,0,0,0,1,0,0,1,0,6,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,31,0,0,0,0,0,0,0,0
Regulus_Black,8,0,28,15,20,0,0,0,0,0,2,0,0,2,0,0,0,0,0,35,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Seamus_Finnigan,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,1,0,0,0,0,125,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Percy_Weasley,7,4,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,107,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dean_Thomas,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
