filename,title,rating,ship,language,category,lovers,wordcount,published,hits,freeform_tags
1_11.txt,Your love is a lie (All damn night),notrated,none,English,slash,James Potter/Severus Snape,7446,2017-10-03,7119,Light Angst|Feels|Romance|Friendship/Love|Idiots in Love|Love Triangles|Slow Burn|Flashbacks|Non-Linear Narrative|Heavy Angst|from light to heavy angst
1_12.txt,Not Really Here,mature,none,English,slash,Remus Lupin/Severus Snape,3777,2020-04-01,6163,Marauders Era (Harry Potter)|Alternate Universe - Canon Divergence|Hogwarts Fifth Year|Enemies to Friends to Lovers|Angst|Humor|Fluff|Mild Sexual Content|Mild Dumbledore Bashing|Internalized Homophobia|Panic Attacks|Questioning Sanity|References to Past Bullying|Severus thinks he might be dead|Remus thinks he might be crazy|Lily is worried they&#39;re both right|No Marauders bashing|but no pretending they&#39;re saints either|Severus discovers leftism and the magic of friendship|Remus learns to stand up for himself|Lily proves that sometimes arson is good actually|and overall things are much better and cooler
1_13.txt,Ten Years Later: Legion,mature,none,English,het,none,178970,2019-12-24,458,none
1_14.txt,Percy Weasley Takes Over,teen,none,English,multi,Oliver Wood/Percy Weasley,6082,2020-02-07,1084,Humor|Percy Weasley breaks the rules|(gasp)|Oliver &quot;Ride or Die: Quidditch Edition&quot; Wood
1_15.txt,Children of the moon,mature,none,English,multi,Remus Lupin/Sirius Black,6505,2018-11-03,864,Werewolves|Marauders&#39; Era|Marauders|Young Remus Lupin|Cute|Fluff|Angst|Werewolf Turning|Moon|Moonlight|Children|Growing Up|Love|Falling In Love|Protection|Magic|Animagus|Animagus Harry Potter|Animals|Halloween|Horror|Angst with a Happy Ending|Happy Ending|Harry Potter References|Young Sirius Black|Young James Potter|Remus Lupin &amp; Lily Evans Potter Friendship|Sirius Black &amp; Lily Evans Potter Friendship|Lily Evans Potter &amp; Severus Snape Friendship|Friendship|Friendship/Love|Gay|Cute Kids
1_16.txt,April Fools,general,none,English,het,Draco Malfoy/Hermione Granger,463,2020-04-01,1196,OhYesWeKenz|Married Couple|Children|April Fools&#39; Day
1_17.txt,The First Day,teen,none,English,gen,Ginny Weasley/Harry Potter,216132,2019-07-16,4851,Post-Second War with Voldemort|First Year After the War|Healing|Post-Traumatic Stress Disorder - PTSD|Trauma|Healing Is a Slow Process
1_18.txt,Knocked Up,mature,none,English,slash,Draco Malfoy/Harry Potter,5686,2018-02-19,3593,Mpreg|Auror Harry Potter|Not Canon Compliant|HP: EWE|Angst|Misunderstandings|Mutual Pining|No Smut|I&#39;m not even going to attempt writing any
1_19.txt,Rage II,explicit,none,English,slash,Draco Malfoy/Harry Potter,57904,2020-03-18,10277,Heavy BDSM|Dom Draco Malfoy|Sub Harry Potter|Top Draco Malfoy|Bottom Harry Potter|Switching|Bottom Draco Malfoy|Top Harry Potter|Anal Sex|Anal Fingering|Rimming|Anal Play|Spanking|Whipping|Rope Bondage|Verbal Humiliation|Dubious Consent|Rough Sex|Angst|Harry Potter Epilogue Compliant|Rape/Non-con Elements|Angry Harry Potter|Redeemed Draco Malfoy|Fluff and Angst|Explicit Sexual Content|Gratuitous Smut|Hurt/Comfort|Blow Jobs|Auror Harry Potter|Auror Draco Malfoy|Established Relationship|Vulnerable Harry Potter|Powerful Harry Potter|Jealousy|Oral Sex|Minor Draco Malfoy/Blaise Zabini|Sex Toys|Orgasm Control|Orgasm Delay|BDSM|Paddling|Aftercare|Large Cock|Cock Rings|Nipple Clamps|Divorced Harry Potter &amp; Ginny Weasley|Divorced Astoria Greengrass &amp; Draco Malfoy|Flogging|Ankle Cuffs|Wrist Cuffs|Anal Plug|Contracts|Collars|Angry Sex|Sleep Deprivation|Hate Sex|Angst with a Happy Ending|Porn With Plot
1_20.txt,If Peter Had A Sister,general,none,English,multi,none,5393,2020-01-30,23,Marauders|Marauders Era (Harry Potter)|Marauders Friendship (Harry Potter)
