,Harry_Potter,Draco_Malfoy,Hermione_Granger,Severus_Snape,Sirius_Black,Remus_Lupin,Original_Percival_Graves,Newt_Scamander,Tom_Riddle,Ginny_Weasley,Credence_Barebone,Ron_Weasley,Voldemort,Lucius_Malfoy,Gellert_Grindelwald,Albus_Dumbledore,Original_Female_Character,Theseus_Scamander,James_Potter,Pansy_Parkinson,Bellatrix_Black_Lestrange,Scorpius_Malfoy,Albus_Severus_Potter,Lily_Evans_Potter,Neville_Longbottom,Charlie_Weasley,Luna_Lovegood,James_Sirius_Potter,Narcissa_Black_Malfoy,Teddy_Lupin,Tina_Goldstein,Reader,Blaise_Zabini
Harry_Potter,1,1791,151,482,47,14,1,0,191,120,0,42,161,21,1,5,9,0,16,18,4,11,4,7,11,18,13,0,5,4,0,1,15
Draco_Malfoy,1791,0,588,23,1,3,0,0,3,21,0,52,1,10,0,0,11,0,3,5,1,2,17,0,21,13,6,4,5,2,0,7,7
Hermione_Granger,151,588,1,276,44,17,0,0,122,13,0,67,23,77,1,0,3,0,8,48,70,1,0,1,14,24,12,0,8,1,0,0,4
Severus_Snape,482,23,276,0,36,52,0,0,1,6,0,8,6,35,0,8,51,0,23,1,0,0,0,16,4,1,1,0,2,0,0,2,0
Sirius_Black,47,1,44,36,0,445,0,0,0,1,0,1,0,6,0,0,11,0,28,1,1,0,0,2,0,1,0,1,3,1,0,5,0
Remus_Lupin,14,3,17,52,445,0,0,0,0,0,0,0,0,3,0,0,10,0,2,0,1,0,0,2,1,0,0,0,0,0,0,6,0
Original_Percival_Graves,1,0,0,0,0,0,0,133,0,0,172,0,0,0,31,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
Newt_Scamander,0,0,0,0,0,0,133,0,0,0,19,0,0,0,8,12,0,132,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0
Tom_Riddle,191,3,122,1,0,0,0,0,1,2,0,1,1,1,1,1,19,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
Ginny_Weasley,120,21,13,6,1,0,0,0,2,0,0,7,0,2,0,0,1,0,1,17,0,1,0,0,2,0,17,0,0,0,0,0,6
Credence_Barebone,0,0,0,0,0,0,172,19,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ron_Weasley,42,52,67,8,1,0,0,0,1,7,0,0,0,3,0,0,2,0,0,9,0,0,0,0,1,0,0,1,0,1,0,0,11
Voldemort,161,1,23,6,0,0,0,0,1,0,0,0,0,4,0,1,3,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0
Lucius_Malfoy,21,10,77,35,6,3,0,0,1,2,0,3,4,0,0,0,6,0,5,0,2,0,0,2,0,0,0,0,23,0,0,3,0
Gellert_Grindelwald,1,0,1,0,0,0,31,8,1,0,12,0,0,0,1,137,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albus_Dumbledore,5,0,0,8,0,0,0,12,1,0,1,0,1,0,137,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Original_Female_Character,9,11,3,51,11,10,2,0,19,1,0,2,3,6,0,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
Theseus_Scamander,0,0,0,0,0,0,14,132,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James_Potter,16,3,8,23,28,2,0,0,0,1,0,0,0,5,0,0,3,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0
Pansy_Parkinson,18,5,48,1,1,0,0,0,1,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,0,4,0,0,0,1
Bellatrix_Black_Lestrange,4,1,70,0,1,1,0,0,2,0,0,0,16,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0
Scorpius_Malfoy,11,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,1,0,0,12,0,3,0,0,0
Albus_Severus_Potter,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,62,0,0,0,0,0,10,0,1,0,0,0
Lily_Evans_Potter,7,0,1,16,2,2,0,0,0,0,0,0,1,2,0,0,0,0,50,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Neville_Longbottom,11,21,14,4,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,7,1,1,0,0,0,3,6,1,0,0,0,0,3
Charlie_Weasley,18,13,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,3,0,1,3,2,2,0,1,0
Luna_Lovegood,13,6,12,1,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0,0,1,0,0,1,1
James_Sirius_Potter,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,10,0,1,3,0,0,0,38,0,0,0
Narcissa_Black_Malfoy,5,5,8,2,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,6,0,0,6,0,2,1,0,0,0,0,0,0
Teddy_Lupin,4,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,38,0,0,0,0,0
Tina_Goldstein,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reader,1,7,0,2,5,6,2,3,0,0,2,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Blaise_Zabini,15,7,4,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0
