Swearing,freq
Draco Malfoy,44
Harry Potter,41
Hermione Granger,35
Severus Snape,17
Sirius Black,11
Remus Lupin,10
Reader,5
Original Female Character,5
Pansy Parkinson,5
James Potter,3
Lily Evans Potter,3
Charlie Weasley,3
Rodolphus Lestrange,2
Bill Weasley,2
none,2
Ron Weasley,2
Percy Weasley,2
Nymphadora Tonks,2
Loki ,2
Lucius Malfoy,2
Oliver Queen,1
Robert Queen,1
Original Character Roark Potter,1
Eric Northman,1
Godric,1
Theodore Nott,1
Sandor Clegane,1
Ginny Weasley,1
Dean Winchester,1
Albus Dumbledore,1
Gellert Grindelwald,1
Gregory Goyle,1
Fred Weasley,1
Marcus Flint,1
Stephen Strange,1
Original Character,1
Fandral ,1
Steve Rogers,1
Tony Stark,1
Fenrir Greyback,1
CaptainSparklez,1
Synhd,1
Neville Longbottom,1
Tom Riddle,1
Cedric Diggory,1
Alastor,1
Angel Dust (Hazbin Hotel),1
Blaise Zabini,1
Rabastan Lestrange,1
Roark Durin Peverell Potter,1
Are meant to be a surprise,1
Voldemort,1
Albus Severus Potter,1
Scorpius Malfoy,1
