Grief/Mourning,freq
Harry Potter,41
Draco Malfoy,35
Hermione Granger,23
Severus Snape,13
Sirius Black,11
Remus Lupin,10
Original Female Character,5
Lily Evans Potter,4
George Weasley,4
Albus Dumbledore,4
Ginny Weasley,4
Nymphadora Tonks,3
Lucius Malfoy,3
Charlie Weasley,3
Narcissa Black Malfoy,3
Ron Weasley,3
James Potter,2
Theodore Nott,2
Bellatrix Black Lestrange,2
Neville Longbottom,2
Luna Lovegood,2
Voldemort,2
Theseus Scamander,2
Original Percival Graves,1
Andromeda Black Tonks,1
Bill Weasley,1
Angelina Johnson,1
Lavender Brown,1
Teddy Lupin,1
Gellert Grindelwald,1
Tom Riddle,1
Kylo Ren,1
Rey,1
Daphne Greengrass,1
Xenophilius Lovegood,1
Blaise Zabini,1
Regulus Black,1
Scorpius Malfoy,1
Oliver Wood,1
Percy Weasley,1
Marlene McKinnon,1
Godric Gryffindor,1
Salazar Slytherin,1
Dean Winchester,1
Cedric Diggory,1
Fleur Delacour,1
Fred Weasley,1
Penelope Clearwater,1
Reader,1
Original Male Character,1
