Hurt/Comfort,freq
Harry Potter,299
Draco Malfoy,271
Hermione Granger,166
Severus Snape,126
Remus Lupin,75
Sirius Black,72
Original Female Character,35
Tom Riddle,16
Ron Weasley,13
Charlie Weasley,12
Original Percival Graves,12
James Potter,11
Voldemort,11
Lucius Malfoy,11
Bellatrix Black Lestrange,10
Ginny Weasley,9
Neville Longbottom,9
George Weasley,9
Credence Barebone,8
Theodore Nott,7
Newt Scamander,7
Lily Evans Potter,6
none,6
Pansy Parkinson,6
Gellert Grindelwald,6
Fred Weasley,5
Reader,5
Narcissa Black Malfoy,5
Nymphadora Tonks,4
Regulus Black,4
Albus Dumbledore,4
Lavender Brown,3
Scorpius Malfoy,3
Arthur Weasley,3
Original Male Character,3
Blaise Zabini,3
Tony Stark,3
Percy Weasley,3
James Sirius Potter,3
Andromeda Black Tonks,2
Daphne Greengrass,2
Barry Allen,2
Oliver Queen,2
Bill Weasley,2
Luna Lovegood,2
Angelina Johnson,2
Astoria Greengrass,2
Original Character,2
Other,2
Albus Severus Potter,2
Marlene McKinnon,2
Teddy Lupin,2
Peter Griffin,1
Sans,1
Peter Hale,1
Orion Amari,1
Wang Yi Bo,1
Xiao Zhan | Sean,1
Arthur Morgan,1
Aster Potter,1
Clark Kent,1
James,1
Sirius,1
Millicent Bulstrode,1
Frank Zhang,1
Percy Jackson,1
Cassandra Burke Goyle (Original Character),1
Harry Styles,1
Louis Tomlinson,1
Caelum Lestrange,1
Harriet Potter | Rigel Black,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Susan Bones,1
Asami Ryuichi,1
Takaba Akihito,1
Husband,1
Wife,1
Slade Wilson,1
Viserys Targaryen,1
Delphi,1
Everyone,1
Regretful Reads,1
Angel (BtVS),1
Original Characters,1
Riven,1
Aaron Hotchner,1
Kylo Ren,1
Rey,1
Player Character (Hogwarts Mystery),1
Dorian Pavus,1
Edward Cullen,1
Vernon Dursley,1
Edward (Anita Blake),1
Jean - Claude (Anita Blake),1
Micah Callahan,1
Aro,1
Carlisle Cullen,1
Corvo Attano,1
Rigo Vasquez,1
OMC,1
