Family Feels,freq
Harry Potter,215
Draco Malfoy,100
Hermione Granger,80
none,75
Sirius Black,67
Ginny Weasley,44
Remus Lupin,43
James Potter,38
Severus Snape,37
Lily Evans Potter,34
Ron Weasley,27
Original Female Character,26
Regulus Black,21
George Weasley,18
Albus Severus Potter,15
Luna Lovegood,14
Neville Longbottom,14
Percy Weasley,14
Arthur Weasley,13
Molly Weasley,12
Lucius Malfoy,12
Narcissa Black Malfoy,12
Tom Riddle,11
Fred Weasley,10
Bill Weasley,10
Teddy Lupin,10
Original Male Character,10
James Sirius Potter,9
Andromeda Black Tonks,8
Scorpius Malfoy,8
Newt Scamander,7
Queenie Goldstein,7
Tina Goldstein,7
Pansy Parkinson,7
Nymphadora Tonks,6
Original Character,6
Fleur Delacour,6
Voldemort,6
Original Percival Graves,6
Charlie Weasley,6
Bellatrix Black Lestrange,5
Lily Luna Potter,5
Blaise Zabini,5
Theseus Scamander,4
Minerva McGonagall,4
Jacob Kowalski,4
Walburga Black,4
Reader,4
Rose Weasley,4
Tony Stark,3
Victoire Weasley,3
Astoria Greengrass,3
Credence Barebone,3
Albus Dumbledore,3
Death,3
Clint Barton,3
Ted Tonks,3
Daphne Greengrass,3
Hugo Weasley,3
Dean Thomas,3
Angelina Johnson,3
Orion Black,3
Petunia Evans Dursley,2
Kaminari Denki,2
Shinsou Hitoshi,2
Marcus Flint,2
Anakin Skywalker,2
Pandora Lovegood,2
Legolas Greenleaf,2
Gideon Prewett,2
Dudley Dursley,2
Lavender Brown,2
Parvati Patil,2
Evelyn Black,2
Jasper Hale,2
Audrey Weasley,2
Euphemia Potter,2
Fleamont Potter,2
Cora Hale,2
Alice Longbottom,2
Frank Longbottom,2
Gellert Grindelwald,2
Kylo Ren,2
Rey,2
Seamus Finnigan,2
Louis Weasley,1
Steven Universe,1
White Diamond,1
Alec Lightwood,1
Magnus Bane,1
Pansy,1
Marcus Belby,1
Charlus Potter,1
Dorea Black Potter,1
Oliver Wood,1
Polly Gray,1
Gertrude,1
Emmeline Vance,1
Kreacher,1
Amelia Bones,1
Susan Bones,1
