Angst and Hurt/Comfort,freq
Harry Potter,61
Draco Malfoy,60
Hermione Granger,56
Severus Snape,26
Remus Lupin,20
Sirius Black,17
Original Female Character,12
Ron Weasley,11
Voldemort,6
Tom Riddle,6
Reader,5
Charlie Weasley,5
James Potter,4
Neville Longbottom,4
Fred Weasley,4
none,3
Pansy Parkinson,3
Lucius Malfoy,3
Kylo Ren,3
Rey,3
James Sirius Potter,3
Bellatrix Black Lestrange,3
Ginny Weasley,3
Original Percival Graves,3
Lily Evans Potter,2
Theodore Nott,2
Susan Bones,2
Fleur Delacour,2
Original Male Character,2
Gellert Grindelwald,2
Original Character,2
Newt Scamander,2
Scorpius Malfoy,2
Cedric Diggory,2
George Weasley,2
Clint Barton,2
Dean Winchester,2
Faith Lehane,2
Credence Barebone,2
Peter Pettigrew,1
Astoria Greengrass,1
Arthur Weasley,1
Molly Weasley,1
Millicent Bulstrode,1
Luna Lovegood,1
Marlene McKinnon,1
Regulus Black,1
Klaus Mikaelson,1
Stefan Salvatore,1
Lily Evans,1
Severus Snape (One sided),1
Narcissa Black Malfoy,1
Teddy Lupin,1
Flora Carrow,1
Hestia Carrow,1
Albus Dumbledore,1
Asami Ryuichi,1
Mrs Zabini,1
Romilda Vane,1
Andromeda Black Tonks,1
Albus Severus Potter,1
Nymphadora Tonks,1
Rose Weasley,1
Blaise Zabini,1
Luisa Alver,1
Rose Solano,1
Aurora Sinistra,1
