Torture,freq
Harry Potter,124
Hermione Granger,100
Draco Malfoy,81
Severus Snape,40
Tom Riddle,27
Voldemort,26
Bellatrix Black Lestrange,18
Original Female Character,16
Lucius Malfoy,16
Ginny Weasley,9
Ron Weasley,8
Remus Lupin,7
none,7
Nymphadora Tonks,6
Original Percival Graves,6
Gellert Grindelwald,6
Sirius Black,5
Newt Scamander,4
Original Male Character,4
Luna Lovegood,4
Fred Weasley,3
Arthur Weasley,3
Daphne Greengrass,3
Reader,3
Albus Dumbledore,3
Narcissa Black Malfoy,3
Fenrir Greyback,3
Theodore Nott,2
Delphi,2
Antonin Dolohov,2
Bruce Wayne,2
Joker (DCU),2
Pansy Parkinson,2
Thorfinn Rowle,2
Original Character,1
James Potter,1
Lily Evans Potter,1
Molly Weasley,1
Steve Rogers,1
George Weasley,1
Viktor Krum,1
Gomez Addams,1
Morticia Addams,1
Augustus Rookwood,1
Catherine Carter,1
Henry Carter,1
Minerva McGonagall,1
Rolanda Hooch,1
Lavender Brown,1
Scabior,1
Jacob Black,1
Blaise Zabini,1
Diary Tom Riddle,1
Remus Lupin (past),1
Regulus Black,1
Harry Potter (past),1
Horace Slughorn,1
Asami Ryuichi,1
Loki ,1
Mystery Guy,1
Charlie Weasley,1
Kreacher,1
Geralt z Rivii | Geralt of Rivia,1
Jaskier | Dandelion,1
Barca,1
Pietros,1
Eric Northman,1
James Bucky Barnes,1
Marcus Fletcher,1
Eileen Prince,1
Tobias Snape,1
Oliver Queen,1
Slade Wilson,1
Loras Tyrell,1
Tommen Baratheon,1
Credence Barebone,1
Cedric,1
Harry,1
Link (Legend of Zelda),1
Own Character,1
Alastor,1
Angel Dust (Hazbin Hotel),1
Jung Hoseok | J - Hope,1
Min Yoongi | Suga,1
Andromeda Black Tonks,1
Undisclosed,1
Petyr Baelish,1
Sansa Stark,1
Steve McGarrett,1
Dean Winchester,1
Sam Winchester,1
Lucifer (Supernatural),1
Bucky Barnes,1
Logan (X - Men),1
Rufus Scrimgeour,1
Petunia Evans Dursley,1
Vernon Dursley,1
