Anal Sex,freq
Harry Potter,1518
Draco Malfoy,952
Severus Snape,336
Sirius Black,262
Remus Lupin,226
Hermione Granger,198
Ron Weasley,94
Lucius Malfoy,86
Tom Riddle,66
Voldemort,57
Ginny Weasley,52
Scorpius Malfoy,48
Albus Severus Potter,45
Original Percival Graves,38
none,37
Albus Dumbledore,35
James Sirius Potter,33
James Potter,32
Original Male Character,31
Teddy Lupin,29
Neville Longbottom,29
Theodore Nott,28
Gellert Grindelwald,28
Newt Scamander,26
Reader,22
Fred Weasley,22
Blaise Zabini,22
George Weasley,22
Charlie Weasley,21
Pansy Parkinson,21
Original Female Character,20
Daphne Greengrass,19
Oliver Wood,19
Credence Barebone,19
Narcissa Black Malfoy,19
Regulus Black,15
Lily Evans Potter,15
Marcus Flint,13
Nymphadora Tonks,12
Viktor Krum,12
Fenrir Greyback,12
Fleur Delacour,12
Cedric Diggory,11
Percy Weasley,11
Arthur Weasley,11
Bill Weasley,10
Dean Thomas,10
Cormac McLaggen,9
Luna Lovegood,9
Bellatrix Black Lestrange,9
Other,8
Peter Pettigrew,8
Tony Stark,7
Theseus Scamander,7
Seamus Finnigan,6
Astoria Greengrass,5
Rubeus Hagrid,4
Gilderoy Lockhart,4
Original Character,4
Rose Weasley,4
Vernon Dursley,4
Lily Luna Potter,4
Horace Slughorn,4
Hannibal Lecter,3
Will Graham,3
Prince Charmont (Ella Enchanted),3
Loki ,3
Steve Rogers,3
Colin Creevey,3
Harry Styles,3
Louis Tomlinson,3
Finn O&#39;Hara,3
Leo Knut,3
Lavender Brown,3
Susan Bones,3
Hermione,3
Dudley Dursley,3
Edward (Anita Blake),3
Everyone,3
Kara Zor - El,3
Scorpius,3
Teddy,3
Dobby,3
Kim Taehyung | V,3
Bartemius Crouch Jr.,3
Hugo Weasley,3
Desmond Miles,3
L,2
Daenerys Targaryen,2
Graham Montague,2
Arya Stark,2
Jackson Whittemore,2
Parvati Patil,2
Eren Yeager,2
Logan Tremblay (lumosinlove),2
Bakugou Katsuki,2
Hannah Abbott,2
Quirinus Quirrell,2
Minerva McGonagall,2
Jean - Claude (Anita Blake),2
Micah Callahan,2
