Idiots in Love,freq
Draco Malfoy,90
Harry Potter,65
Hermione Granger,48
Sirius Black,16
Remus Lupin,14
Severus Snape,8
Original Female Character,7
Ron Weasley,7
Tom Riddle,5
Theodore Nott,4
Fred Weasley,4
Neville Longbottom,3
Pansy Parkinson,3
Oliver Wood,3
Voldemort,3
Albus Dumbledore,2
Newt Scamander,2
Percy Weasley,2
Arthur Weasley,2
Blaise Zabini,2
Ginny Weasley,2
Harry Hart | Galahad,1
Marcus Flint,1
Reader,1
Gellert Grindelwald,1
Original Percival Graves,1
Daphne Greengrass,1
Theseus Scamander,1
Ask Me,1
Girl Of Readerr Dreams,1
George Weasley,1
Peter Pettigrew,1
Ben Solo,1
Rey,1
Asami Ryuichi,1
Thorfinn Rowle,1
Fleur Delacour,1
Tsu&#39;tey te Rongloa Ateyitan,1
Dean Thomas,1
Seamus Finnigan,1
Tina Goldstein,1
Molly Weasley,1
Charlie Weasley,1
wolfstar - Relationship,1
Albus Severus Potter,1
Scorpius Malfoy,1
