Shameless Smut,freq
Harry Potter,299
Hermione Granger,295
Draco Malfoy,249
Severus Snape,64
Sirius Black,43
Remus Lupin,41
Reader,33
Lucius Malfoy,30
Ginny Weasley,28
Theodore Nott,28
Ron Weasley,24
Original Female Character,20
Tom Riddle,20
Bellatrix Black Lestrange,19
Pansy Parkinson,16
Narcissa Black Malfoy,15
Fred Weasley,15
Neville Longbottom,13
James Potter,13
Charlie Weasley,13
none,13
Lily Evans Potter,12
Blaise Zabini,12
Fleur Delacour,10
George Weasley,10
Rose Weasley,8
Voldemort,7
Newt Scamander,7
Original Percival Graves,7
Cormac McLaggen,7
Tina Goldstein,6
Scorpius Malfoy,6
Original Male Character,6
Credence Barebone,6
Viktor Krum,5
Luna Lovegood,5
Albus Severus Potter,5
Albus Dumbledore,5
Original Character,4
Seamus Finnigan,4
Angelina Johnson,3
Gellert Grindelwald,3
Dean Thomas,3
Bill Weasley,3
Kara Danvers,2
Daenerys Targaryen,2
Penny Haywood,2
Daphne Greengrass,2
Arya Stark,2
Susan Bones,2
Parvati Patil,2
Molly Weasley,2
Hannah Abbott,2
Regulus Black,2
Player Character (Hogwarts Mystery),2
Fenrir Greyback,2
Padma Patil,2
Dean Winchester,2
Teddy Lupin,2
Vernon Dursley,2
Arthur Weasley,2
Nymphadora Tonks,2
Victoire Weasley,2
Finn O&#39;Hara,2
Leo Knut,2
Logan Tremblay,2
Rogue,2
Kara Zor - El,2
Natasha Romanov ,1
Circe Avery,1
James,1
Sirius,1
Adrian Pucey,1
Anakin Skywalker,1
Lore),1
Medusa (Ancient Greek Religion,1
Voldemort (Harry Potter),1
Raven Branwen,1
Summer Rose,1
Eliza Danvers,1
Velelana Gremory,1
Chiara Lobosca,1
Cecile Horton,1
Richard Winters,1
Irene Belserion,1
Padmé Amidala,1
Damon,1
FemHarry,1
Zari Tomaz,1
Elizabeth (BioShock),1
Marcus Flint,1
Buffy Summers,1
Isabela(Dragon Age),1
Jennifer Pierce,1
Silena Beauregard,1
Aragorn | Estel,1
Yang Xiao Long,1
Jae Kim,1
Mara Jade,1
Dan Granger,1
Emma Granger,1
