Alternate Universe,freq
Harry Potter,254
Hermione Granger,195
Draco Malfoy,134
Severus Snape,96
Sirius Black,62
Tom Riddle,53
Remus Lupin,53
Voldemort,30
Original Female Character,24
James Potter,18
Lucius Malfoy,18
Bellatrix Black Lestrange,18
Lily Evans Potter,14
Albus Dumbledore,14
Gellert Grindelwald,14
Ron Weasley,13
none,9
Ginny Weasley,9
Original Percival Graves,9
Fred Weasley,7
Pansy Parkinson,7
Theodore Nott,7
Narcissa Black Malfoy,7
Original Male Character,6
Viktor Krum,6
Newt Scamander,6
Neville Longbottom,5
Reader,5
Charlie Weasley,5
Regulus Black,5
Cedric Diggory,5
George Weasley,5
Original Character,5
Nymphadora Tonks,5
Luna Lovegood,4
Loki ,4
Fenrir Greyback,4
Credence Barebone,4
Other,3
Jasper Hale,3
Fleur Delacour,3
Sheev Palpatine,3
Bill Weasley,3
James Sirius Potter,3
Blaise Zabini,3
Tobias Snape,2
Colin Farrell,2
Rabastan Lestrange,2
Oliver Queen,2
Bartemius Crouch Jr.,2
Dean Winchester,2
Darcy Lewis,2
Teddy Lupin,2
Emmett Cullen,2
Marlene McKinnon,2
Scorpius Malfoy,2
Seamus Finnigan,2
Marcus Flint,2
Dean Thomas,2
Antonin Dolohov,2
Aragorn,2
Kunzite,1
Zoisite,1
Peter Griffin,1
Sans,1
Asami Ryuichi,1
Bellamy Blake,1
Thorfinn Rowle,1
Harry Hart | Galahad,1
Female Harry Potter,1
Clark Kent,1
Hermione - Relationship,1
Peter Hale,1
Stiles Stilinski,1
Gomez Addams,1
Morticia Addams,1
Ezra Miller,1
Anakin Skywalker,1
Frank Zhang,1
Percy Jackson,1
Angus MacGyver (MacGyver TV 2016),1
Death,1
Slytherin Students,1
Harry Styles,1
Louis Tomlinson,1
Sandor Clegane,1
Salazar Slytherin,1
Im Jaebum | JB,1
Jackson Wang,1
Catherine Carter,1
Henry Carter,1
Tracey Davis,1
Damon Salvatore,1
Dobby,1
Wanda Maximoff,1
Minerva McGonagall,1
Jafar,1
Lucy Heartfilia,1
Natsu Dragneel,1
Talbott Winger,1
Sam Uley,1
