Domestic Fluff,freq
Harry Potter,658
Draco Malfoy,566
Hermione Granger,319
Remus Lupin,207
Sirius Black,193
Severus Snape,139
James Potter,70
Ginny Weasley,65
Ron Weasley,65
Lily Evans Potter,60
Original Female Character,56
Reader,55
Luna Lovegood,41
Tom Riddle,34
Newt Scamander,31
Scorpius Malfoy,29
Neville Longbottom,29
Pansy Parkinson,27
Albus Severus Potter,24
Fred Weasley,23
George Weasley,22
Lucius Malfoy,19
Voldemort,19
Tina Goldstein,19
Theodore Nott,16
Original Percival Graves,15
none,14
Oliver Wood,13
Credence Barebone,13
Narcissa Black Malfoy,12
Regulus Black,12
Nymphadora Tonks,12
Fleur Delacour,11
Percy Weasley,11
Bellatrix Black Lestrange,11
Charlie Weasley,9
Teddy Lupin,9
Cedric Diggory,8
Blaise Zabini,8
James Sirius Potter,8
Viktor Krum,7
Bill Weasley,7
Andromeda Black Tonks,6
Astoria Greengrass,6
Gellert Grindelwald,6
Finn O&#39;Hara,5
Marlene McKinnon,5
Albus Dumbledore,5
Rose Weasley,4
Original Male Character,4
James Bucky Barnes,4
Leo Knut,4
Arthur Weasley,4
Alastor Moody,4
Marcus Flint,3
Jacob Kowalski,3
Queenie Goldstein,3
Dean Thomas,3
Dorcas Meadowes,3
Original Character,3
Kingsley Shacklebolt,3
Seamus Finnigan,3
Cho Chang,3
Millicent Bulstrode,3
Lavender Brown,3
Logan Tremblay,3
Minerva McGonagall,2
Logan Tremblay (lumosinlove),2
Penny Haywood,2
Peter Pettigrew,2
Harry Styles,2
Louis Tomlinson,2
Angelina Johnson,2
Katie Bell,2
o&#39;knutzy - Relationship,2
Bartemius Crouch Jr.,2
Molly Weasley,2
Daphne Greengrass,2
Dudley Dursley,2
Alice Kingsleigh,2
Benjy Fenwick,2
Caradoc Dearborn,2
Theseus Scamander,2
Caspian (Narnia),1
Aziraphale,1
Crowley ,1
Godric Gryffindor,1
Helga Hufflepuff,1
Rowena Ravenclaw,1
Salazar Slytherin,1
Harry Hart | Galahad,1
Carmelita Spats,1
Isadora Quagmire,1
Clark Kent,1
Audrey Weasley,1
Annabeth Chase,1
Percy Jackson,1
Kim Namjoon | RM,1
Kim Seokjin | Jin,1
Padma Patil,1
They are 12 - Relationship,1
