Post - Canon,freq
Harry Potter,369
Draco Malfoy,246
Hermione Granger,200
none,98
Ginny Weasley,86
Severus Snape,84
Ron Weasley,53
Lucius Malfoy,48
Luna Lovegood,41
Neville Longbottom,30
Sirius Black,27
Scorpius Malfoy,25
Original Female Character,22
Albus Severus Potter,22
Pansy Parkinson,21
Blaise Zabini,18
Narcissa Black Malfoy,17
Lavender Brown,15
Percy Weasley,15
Remus Lupin,15
George Weasley,15
Charlie Weasley,13
Albus Dumbledore,13
Tom Riddle,12
Voldemort,12
Padma Patil,11
Newt Scamander,11
Oliver Wood,10
Original Percival Graves,10
Dudley Dursley,9
Theodore Nott,9
Fred Weasley,9
Andromeda Black Tonks,9
Original Character,9
James Sirius Potter,8
Astoria Greengrass,8
Lily Evans Potter,7
Minerva McGonagall,7
Parvati Patil,7
Bellatrix Black Lestrange,6
Daphne Greengrass,6
Fleur Delacour,6
Rose Weasley,6
Cho Chang,6
Teddy Lupin,5
Original Male Character,5
Percy Jackson,4
Bill Weasley,4
Anthony Goldstein,4
Tina Goldstein,4
James Potter,4
Credence Barebone,4
Nymphadora Tonks,3
Arthur Pendragon (Merlin),3
Merlin,3
Victoire Weasley,3
Gellert Grindelwald,3
Justin Finch - Fletchley,3
Marcus Flint,3
Audrey Weasley,3
Dean Thomas,3
Gregory Goyle,2
Seamus Finnigan,2
Player Character,2
Rachel Elizabeth Dare,2
Other,2
Lily Luna Potter,2
Tracey Davis,2
Alec Lightwood,2
Ernie Macmillan,2
Susan Bones,2
Fon (Katekyou Hitman Reborn!),2
Angelina Johnson,2
Elsa (Disney),2
Zacharias Smith,2
Sokka,2
Roger Davies,2
Reader,2
Kingsley Shacklebolt,2
Енисей Синичкин,2
Камиль Талалаев,2
Hannah Abbott,2
Petunia Evans Dursley,2
Тимур Сафин,2
Ян Лявданский,2
Queenie Goldstein,2
Cedric Diggory,2
Robb Stark,2
Caspian (Narnia),1
Merula Snyde,1
Jethro Gibbs,1
Past Cecilia,1
Tom Riddle Sr.,1
Lán Zhàn | Lán Wàngjī,1
Wèi Yīng | Wèi Wúxiàn,1
Emma Swan,1
Pinocchio | August Booth,1
Aurelia Zabini,1
Eventual Belphegor (Katekyou Hitman Reborn!),1
Natasha Romanov ,1
Tony Stark,1
