Manipulative Albus Dumbledore,freq
Harry Potter,620
none,161
Severus Snape,160
Hermione Granger,156
Draco Malfoy,141
Sirius Black,101
Voldemort,93
Tom Riddle,92
Remus Lupin,70
James Potter,48
Lily Evans Potter,46
Original Female Character,39
Albus Dumbledore,32
Ron Weasley,26
Fred Weasley,25
George Weasley,24
Regulus Black,22
Lucius Malfoy,18
Luna Lovegood,17
Narcissa Black Malfoy,16
Bellatrix Black Lestrange,16
Blaise Zabini,14
Gellert Grindelwald,14
Other Relationship Tags to Be Added,13
Original Male Character,13
Original Character,10
Ginny Weasley,9
Petunia Evans Dursley,9
Charlie Weasley,9
Theodore Nott,9
Salazar Slytherin,8
Cedric Diggory,8
Minerva McGonagall,7
Vernon Dursley,7
Newt Scamander,6
Neville Longbottom,6
Fleur Delacour,6
Tony Stark,5
Marcus Flint,5
Viktor Krum,5
Death,4
Annabeth Chase,4
Percy Jackson,4
Arthur Pendragon (Merlin),4
Merlin,4
Bartemius Crouch Jr.,4
Percy Weasley,4
Loki ,3
Female Harry Potter,3
Godric Gryffindor,3
Andromeda Black Tonks,3
Steve Rogers,3
Daphne Greengrass,3
Fenrir Greyback,3
Undecided,3
Reader,3
harry potter,2
Henry Emily,2
William Afton | Dave Miller,2
Rabastan Lestrange,2
Charlus Potter,2
Dorea Black Potter,2
Bill Weasley,2
Nico di Angelo,2
Abraxas Malfoy,2
Loki,2
Thor ,2
Gomez Addams,2
Morticia Addams,2
Peter Hale,2
Clint Barton,2
?,2
Orion Black,2
none yet,2
No Romantic Relationship,2
Arthur Weasley,2
Molly Weasley,2
Helga Hufflepuff,2
Weasley Family,2
Derek Hale,2
Stiles Stilinski,2
Nymphadora Tonks,2
Fushichou Marco | Phoenix Marco,2
Alex Potter,2
Dudley Dursley,2
Thorfinn Rowle,2
Lily Evans,2
Doctor Granger,2
Padma Patil,1
Parvati Patil,1
relationships come later - Relationship,1
Justin Finch - Fletchley,1
Morag MacDougal,1
creepypasta,1
Bellatrix Black Lestrange &amp;Original Character,1
Minor or Background Relationship,1
they are kids (kinda),1
Reborn (Katekyou Hitman Reborn!),1
Rose Holmes,1
Antonin Dolohov,1
Aragorn | Estel,1
