Masturbation,freq
Harry Potter,287
Draco Malfoy,249
Hermione Granger,194
Severus Snape,100
Sirius Black,50
Remus Lupin,48
Ron Weasley,35
Ginny Weasley,29
Tom Riddle,28
Original Female Character,20
Lucius Malfoy,20
none,16
Albus Severus Potter,16
Pansy Parkinson,14
Reader,14
Scorpius Malfoy,13
Original Percival Graves,13
Albus Dumbledore,13
Voldemort,12
Gellert Grindelwald,10
Narcissa Black Malfoy,9
Neville Longbottom,9
George Weasley,9
Newt Scamander,9
Oliver Wood,8
Fred Weasley,8
Lily Evans Potter,8
Blaise Zabini,7
Credence Barebone,7
Percy Weasley,6
Nymphadora Tonks,6
Charlie Weasley,6
Luna Lovegood,6
James Sirius Potter,6
Daphne Greengrass,5
Original Male Character,5
Bill Weasley,4
Teddy Lupin,4
Theodore Nott,4
Lavender Brown,4
Marcus Flint,4
James Potter,4
Cormac McLaggen,3
Original Character,3
Alice Longbottom,3
Gilderoy Lockhart,3
Colin Creevey,2
Petunia Evans Dursley,2
Molly Weasley,2
Other,2
Tina Goldstein,2
Romilda Vane,2
Dean Thomas,2
Seamus Finnigan,2
Viktor Krum,2
Kylo Ren,2
Rey,2
Antonin Dolohov,2
Astoria Greengrass,2
Angelina Johnson,2
Millicent Bulstrode,2
Spike (BtVS),1
Graham Montague,1
Mr Granger,1
Harry Hart | Galahad,1
Sybill Trelawney,1
Rolf Scamander,1
Dean Winchester,1
Wanda Maximoff,1
Isaac Lahey,1
Jackson Whittemore,1
Loki ,1
Tony Stark,1
Orion Black,1
Din Djarin,1
Steve Rogers,1
Thorfinn Rowle,1
Regulus Black,1
Minerva McGonagall,1
Jae Kim,1
Player Character (Hogwarts Mystery),1
Hannah Abbott,1
Bathsheda Babbling,1
Rogue (X - Men),1
Gregory Goyle,1
Padma Patil,1
Albus,1
James,1
Scorpius,1
Teddy,1
Kreacher,1
Albus Potter,1
James Potter II,1
Harry Potter (imagination),1
Dudley Dursley,1
Aegon VI Targaryen,1
Jon Snow,1
James Potter (unrequited),1
one - sided Bartemius Crouch Jr.,1
Unrequited Lily Evan Potter,1
Harvey Kinkle,1
