Magic,freq
Harry Potter,54
Hermione Granger,40
Draco Malfoy,37
Severus Snape,24
Reader,12
Original Female Character,8
none,7
Ginny Weasley,6
Sirius Black,6
Original Male Character,5
Bellatrix Black Lestrange,4
Remus Lupin,4
Ron Weasley,4
Rey,4
Voldemort,4
Original Character,4
Gellert Grindelwald,3
Albus Dumbledore,3
Luna Lovegood,3
Kylo Ren,3
Tom Riddle,3
Neville Longbottom,3
Daphne Greengrass,3
Prince Charmont (Ella Enchanted),2
Lily Evans Potter,2
Oliver Queen,2
Fred Weasley,2
Cormac McLaggen,2
Dobby,2
James Potter,2
Newt Scamander,2
Nymphadora Tonks,2
Jeon Jungkook,2
Clint Barton,2
Asami Ryuichi,1
Kyle Broflovski,1
Stan Marsh,1
Alastor (Hazbin Hotel),1
Theodore Nott,1
Johann Struensee,1
Death,1
Harry Hart | Galahad,1
James,1
Sirius,1
Female Harry Potter,1
Robb Stark,1
Angus MacGyver (MacGyver TV 2016),1
Ianto Jones,1
Jack Harkness,1
Minerva McGonagall,1
TK Strand,1
Other,1
Tatsumi Seiichirou,1
Watari Yutaka,1
Slade Wilson,1
Dean Thomas,1
Seamus Finnigan,1
Aragorn | Estel,1
Pansy Parkinson,1
Thranduil (Tolkien),1
Cassian,1
Eleonora Severin,1
Aria T&#39;Loak,1
Jack | Subject Zero,1
Rhaenys Targaryen (Daughter of Elia),1
Jon Snow,1
Margaery Tyrell,1
Ygritte,1
TBD - Relationship,1
Hatake Kakashi,1
Dick Grayson,1
Sirius Black - Relationship,1
Castiel,1
Dean Winchester,1
Cho Chang,1
Horse,1
Dominique Weasley,1
Harvey Kinkle,1
Nicholas Scratch,1
OMC,1
Lucius Malfoy,1
John Blacksad,1
Queenie Goldstein,1
Ben Solo,1
sailor moon,1
severus snape,1
Kreacher,1
Peter Parker,1
Wade Wilson,1
Geralt z Rivii | Geralt of Rivia,1
Jaskier | Dandelion,1
Tina Goldstein,1
Gannicus (Spartacus),1
Loki ,1
Petunia Evans Dursley,1
Rose Weasley,1
Scorpius Malfoy,1
Leliana Evan - Black (Aster Potter),1
Klaus Mikaelson,1
James Bucky Barnes,1
Hannibal Lecter,1
