Post - Battle of Hogwarts,freq
Draco Malfoy,114
Hermione Granger,92
Harry Potter,64
Ron Weasley,19
Charlie Weasley,13
Neville Longbottom,12
Original Female Character,12
Severus Snape,12
Pansy Parkinson,10
George Weasley,10
Remus Lupin,7
Luna Lovegood,7
Fred Weasley,7
Ginny Weasley,7
Blaise Zabini,7
Reader,6
Narcissa Black Malfoy,5
Viktor Krum,5
Theodore Nott,4
Cormac McLaggen,4
Lucius Malfoy,3
Seamus Finnigan,3
Bellatrix Black Lestrange,2
Sirius Black,2
Oliver Wood,2
Angelina Johnson,2
Kylo Ren,1
Rey,1
James Potter,1
Scorpius Malfoy,1
Millicent Bulstrode,1
Aurora Sinistra,1
Adrian Pucey,1
So Many &#39;Ships On Which To Set Sail - but which to pick?,1
Sung Jin - Woo,1
Draco,1
Tom Riddle,1
Marcus Flint,1
Dean Thomas,1
Gregory Goyle,1
Lavender Brown,1
Parvati Patil,1
Percy Weasley,1
Bill Weasley,1
Voldemort,1
none,1
Regulus Black,1
Rubeus Hagrid,1
Fem! Harry Potter,1
