Mystery,freq
Draco Malfoy,75
Hermione Granger,65
Harry Potter,56
Severus Snape,15
Original Female Character,6
Sirius Black,6
Original Character,5
Ron Weasley,4
Tom Riddle,4
Remus Lupin,4
Ginny Weasley,4
Voldemort,3
Fred Weasley,3
Lucius Malfoy,3
Original Male Character,3
Bill Weasley,2
James Potter,2
Lily Evans Potter,2
Charlie Weasley,2
Theodore Nott,2
James Sirius Potter,2
Blaise Zabini,2
Newt Scamander,2
Original Percival Graves,2
Asami Ryuichi,1
Luna Lovegood,1
Neville Longbottom,1
Arthur Morgan,1
Aster Potter,1
Audrey Weasley,1
Percy Weasley,1
Angus MacGyver (MacGyver TV 2016),1
L,1
Justin Finch - Fletchley,1
TK Strand,1
Hugo Weasley,1
Eric Northman,1
Fleur Delacour,1
none,1
Antonin Dolohov,1
Antonio Silva,1
Inez Hernandez,1
Fenrir Greyback,1
Cedric Diggory,1
Jaina Proudmoore,1
Sylvanas Windrunner,1
Loki ,1
Barnaby Lee,1
Gannicus (Spartacus),1
George Weasley,1
Padma Patil,1
Teddy Lupin,1
Reader,1
Original Characterx3,1
Wolfram von Bielefeld,1
