Family,freq
Harry Potter,33
Hermione Granger,24
Draco Malfoy,18
Severus Snape,9
Sirius Black,8
Remus Lupin,6
Original Female Character,6
Fred Weasley,3
George Weasley,3
Ginny Weasley,2
Ron Weasley,2
Original Male Character,2
Molly Weasley,2
Peter Griffin,1
Sans,1
Asami Ryuichi,1
Bellamy Blake,1
Voldemort,1
Harry potter,1
Loona,1
Mary Macdonald,1
TK Strand,1
Oliver Queen,1
Slade Wilson,1
Jason Isaacs,1
Tom Felton,1
Rick Grimes,1
Thranduil (Tolkien),1
daenerys targaryen,1
dorian havilliard,1
Bellatrix Black Lestrange,1
Angelina Johnson,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Arthur Weasley,1
Lily Evans,1
Thorfinn Rowle,1
Padma Patil,1
Emmett Cullen,1
Aster Potter,1
Jacob Frye,1
Alan Rickman,1
surprise for you all and fun for me,1
Dean Thomas,1
Neville Longbottom,1
Seamus Finnigan,1
Regulus Black,1
none,1
Orm Marius,1
OMC,1
Corban Yaxley,1
Bartemius Crouch Jr.,1
Original Characterx3,1
Wolfram von Bielefeld,1
Charlie Weasley,1
