Friendship,freq
Harry Potter,745
none,540
Hermione Granger,516
Draco Malfoy,473
Sirius Black,399
Remus Lupin,333
James Potter,229
Severus Snape,222
Original Female Character,210
Lily Evans Potter,183
Ron Weasley,167
Ginny Weasley,111
Luna Lovegood,82
Reader,62
Scorpius Malfoy,56
Tom Riddle,51
Neville Longbottom,49
Albus Severus Potter,44
Pansy Parkinson,37
Peter Pettigrew,36
Original Character,35
Fred Weasley,35
Voldemort,35
Theodore Nott,35
Charlie Weasley,34
Regulus Black,33
George Weasley,32
Newt Scamander,28
Blaise Zabini,28
Albus Dumbledore,28
Original Male Character,27
Minerva McGonagall,26
Nymphadora Tonks,21
Rose Weasley,21
Daphne Greengrass,19
Narcissa Black Malfoy,17
James Sirius Potter,16
Percy Weasley,16
Tina Goldstein,16
Teddy Lupin,16
Lucius Malfoy,15
Bill Weasley,15
Astoria Greengrass,14
Parvati Patil,14
Lavender Brown,14
Gellert Grindelwald,13
Oliver Wood,13
Marlene McKinnon,13
Cedric Diggory,12
Original Percival Graves,12
Bellatrix Black Lestrange,11
Lily Luna Potter,11
Seamus Finnigan,10
Marcus Flint,9
Fleur Delacour,9
Andromeda Black Tonks,9
Dorcas Meadowes,9
Lily Evans,9
Dean Thomas,9
Viktor Krum,9
Victoire Weasley,8
Percy Jackson,7
Merlin,7
Molly Weasley,7
Rubeus Hagrid,7
Tony Stark,7
Tracey Davis,7
James Bucky Barnes,7
Cho Chang,6
Gregory Goyle,6
Katie Bell,6
Annabeth Chase,6
Arthur Pendragon (Merlin),6
Other,6
Player Character,6
Ted Tonks,6
Minor or Background Relationship,5
Hatake Kakashi,5
Merula Snyde,5
Susan Bones,5
Arthur Weasley,5
Marauders,5
Credence Barebone,5
Petunia Evans Dursley,5
Salazar Slytherin,5
Padma Patil,5
Theseus Scamander,5
Loki,4
Justin Finch - Fletchley,4
Leta Lestrange,4
Frodo Baggins,4
Other Relationship Tags to Be Added,4
Steve Rogers,4
Alicia Spinnet,4
Loki ,4
Helga Hufflepuff,4
Mary Macdonald,4
John Watson,4
Angelina Johnson,4
Rey,4
James,3
