Other Additional Tags to Be Added,freq
Harry Potter,152
Draco Malfoy,81
Hermione Granger,78
Severus Snape,44
Tom Riddle,25
Voldemort,20
Sirius Black,18
Remus Lupin,13
Ron Weasley,10
Original Female Character,8
Bellatrix Black Lestrange,7
Reader,7
Newt Scamander,7
James Potter,6
Original Character,6
Lucius Malfoy,6
Original Percival Graves,6
Albus Dumbledore,5
Gellert Grindelwald,5
Arthur Weasley,4
Original Male Character,4
Lily Evans Potter,4
Fred Weasley,4
none,4
Narcissa Black Malfoy,4
Regulus Black,3
Daphne Greengrass,3
Albus Severus Potter,3
Charlie Weasley,3
Blaise Zabini,3
Credence Barebone,3
Padma Patil,2
Theodore Nott,2
Pansy Parkinson,2
Ginny Weasley,2
Death,2
Anakin Skywalker,2
Scorpius Malfoy,2
Other Relationship Tags to Be Added,2
Marcus Flint,2
Harem,2
Parvati Patil,1
Natasha Romanov ,1
Bartemius Crouch Jr.,1
Fleur Delacour,1
Past Lily Evens Potter,1
Molly Weasley,1
Loki ,1
Luna Lovegood,1
Dobby,1
Peter Hale,1
Stiles Stilinski,1
Cedric Diggory,1
Darth Maul,1
to be added as they occur,1
Loki,1
Thor ,1
Teddy Lupin,1
Din Djarin,1
Klaus Mikaelson,1
Garrus Vakarian,1
George Weasley,1
Bill Weasley,1
not yet - Relationship,1
Thorfinn Rowle,1
Original Characters,1
Riven,1
Kylo Ren,1
Rey,1
Jethro Gibbs,1
Tony Stark,1
TBD - Relationship,1
Pennywise (It),1
Neville Longbottom,1
Diary Tom Riddle,1
Coyote Starrk,1
Other,1
Dick Grayson,1
Hannibal Lecter,1
Will Graham,1
Gregory Goyle,1
Lily Luna Potter,1
Harry Potter Characters,1
Hagrid,1
Hermione,1
Viktor Krum,1
Jaina Proudmoore,1
Sylvanas Windrunner,1
Jeon Jungkook,1
Kim Taehyung | V,1
Multiple Pairings - Relationship,1
Geralt z Rivii | Geralt of Rivia,1
Jaskier | Dandelion,1
Mulciber,1
Dolores Umbridge,1
Rogue,1
Creativity | Roman Princey Sanders,1
Logic | Logan Sanders,1
Abraxas Malfoy,1
Benihime,1
Dudley Dursley,1
