Post - War,freq
Draco Malfoy,298
Hermione Granger,278
Harry Potter,206
Severus Snape,107
Ginny Weasley,19
Original Female Character,18
Sirius Black,18
Ron Weasley,17
Lucius Malfoy,16
Remus Lupin,13
Theodore Nott,12
Neville Longbottom,12
Pansy Parkinson,11
Bellatrix Black Lestrange,8
Narcissa Black Malfoy,8
Blaise Zabini,7
Charlie Weasley,7
none,6
George Weasley,5
Luna Lovegood,5
Fred Weasley,5
Nymphadora Tonks,5
James Potter,4
Bill Weasley,4
Lavender Brown,3
Fleur Delacour,3
Tom Riddle,3
Astoria Greengrass,2
Teddy Lupin,2
Hermione,2
Parvati Patil,2
Thorfinn Rowle,2
Reader,2
Hermine Granger,1
Antonin Dolohov,1
Sybill Trelawney,1
Gilderoy Lockhart,1
Mary Macdonald,1
Hannah Abbott,1
Dean Thomas,1
Seamus Finnigan,1
Eric Northman,1
Romilda Vane,1
Lily Evans Potter,1
Draco,1
Percy Weasley,1
Cho Chang,1
Kingsley Shacklebolt,1
Horace Slughorn,1
Desmond Miles,1
Cormac McLaggen,1
Minerva McGonagall,1
Original Character,1
Marcus Flint,1
Oliver Wood,1
Viktor Krum,1
Albus Dumbledore,1
Gabrielle Delacour,1
