Christmas Fluff,freq
Harry Potter,428
Draco Malfoy,372
Hermione Granger,338
Remus Lupin,111
Sirius Black,99
Severus Snape,68
Ginny Weasley,41
Fred Weasley,39
Lily Evans Potter,37
James Potter,36
Ron Weasley,32
Theodore Nott,26
Scorpius Malfoy,23
Pansy Parkinson,23
Luna Lovegood,22
George Weasley,21
Neville Longbottom,20
Reader,18
Charlie Weasley,18
Albus Severus Potter,16
none,16
Percy Weasley,12
Tom Riddle,11
Original Female Character,10
Original Percival Graves,10
Bellatrix Black Lestrange,10
Tony Stark,9
Oliver Wood,9
Lucius Malfoy,9
Blaise Zabini,8
Nymphadora Tonks,7
Arthur Weasley,7
Teddy Lupin,7
Credence Barebone,7
Molly Weasley,6
Newt Scamander,6
Daphne Greengrass,6
Bill Weasley,6
Albus Dumbledore,5
Rose Weasley,5
Original Character,5
James Sirius Potter,5
Gellert Grindelwald,4
Steve Rogers,4
Cedric Diggory,4
Fleur Delacour,4
Andromeda Black Tonks,3
Voldemort,3
Gilderoy Lockhart,3
Katie Bell,3
Wanda Maximoff,3
Marcus Flint,3
Minerva McGonagall,3
Narcissa Black Malfoy,3
Lee Jordan,3
Regulus Black,3
Loki ,3
Dean Winchester,3
Viktor Krum,3
Ted Tonks,2
Original Male Character,2
Dorcas Meadowes,2
Marlene McKinnon,2
Tenth Doctor,2
Merula Snyde,2
Cho Chang,2
Angelina Johnson,2
Rabastan Lestrange,2
Bartemius Crouch Jr.,2
James Bucky Barnes,2
Seamus Finnigan,2
Spencer Reid,2
Peter Pettigrew,2
Antonin Dolohov,2
Lily Luna Potter,2
Kingsley Shacklebolt,2
Tina Goldstein,2
Dean Thomas,2
Astoria Greengrass,2
Marauders,2
Clint Barton,2
Hannah Abbott,2
Caspian (Narnia),1
Carmelita Spats,1
Isadora Quagmire,1
Nico di Angelo,1
Will Solace,1
Jacob Kowalski,1
Queenie Goldstein,1
Tom Felton,1
Eliot Waugh,1
Quentin Coldwater,1
Charles Xavier,1
Erik Lehnsherr,1
Ernie Macmillan,1
Gokudera Hayato,1
Sawada Tsunayoshi,1
Bilius (Harry Potter),1
Pennywise (IT),1
Susan Bones,1
Coach,1
