Drama &amp; Romance,freq
Hermione Granger,194
Draco Malfoy,185
Harry Potter,176
Severus Snape,117
Original Female Character,85
Remus Lupin,38
Sirius Black,35
Reader,31
Lily Evans Potter,28
Tom Riddle,28
James Potter,24
Ron Weasley,20
Scorpius Malfoy,16
Lucius Malfoy,16
Ginny Weasley,14
Albus Dumbledore,13
Fred Weasley,13
none,12
Gellert Grindelwald,11
George Weasley,10
Voldemort,10
James Sirius Potter,9
Rose Weasley,9
Original Percival Graves,8
Newt Scamander,8
Tina Goldstein,8
Albus Severus Potter,8
Narcissa Black Malfoy,7
Regulus Black,6
Original Character,6
Credence Barebone,6
Theodore Nott,5
Astoria Greengrass,5
Blaise Zabini,5
Neville Longbottom,5
Lily Evans,5
Luna Lovegood,5
Original Male Character,4
Daphne Greengrass,4
Pansy Parkinson,4
Bill Weasley,4
Minerva McGonagall,4
Bellatrix Black Lestrange,4
Theseus Scamander,4
Andromeda Black Tonks,4
Oliver Wood,4
Teddy Lupin,4
Aster Potter,4
Dominique Weasley,3
Player Character (Hogwarts Mystery),3
Lavender Brown,3
Percy Weasley,3
Lily Luna Potter,3
Ted Tonks,3
Marcus Flint,3
Other Relationship Tags to Be Added,2
Charlie Weasley,2
Antonin Dolohov,2
Viktor Krum,2
Tony Stark,2
Merope Gaunt,2
Tom Riddle Sr.,2
Penny Haywood,2
Parvati Patil,2
Fleur Delacour,2
Fenrir Greyback,2
Other,2
Dean Thomas,2
Seamus Finnigan,2
Flora Carrow,2
Nymphadora Tonks,2
Cedric Diggory,2
Dean Winchester,2
Faith Lehane,2
Rabastan Lestrange,2
Louis Weasley,1
Terry Boot,1
Daisy Potter,1
Kylie Ford,1
Augustus Rookwood,1
Original Non - Binary Character,1
Loki,1
Dobby,1
Loki ,1
Kreacher,1
Original Male Character - Relationship,1
James Bucky Barnes,1
Audrey Weasley,1
Padma Patil,1
Shane Walsh,1
Potter Siblings - Relationship,1
Daughter - Relationship,1
Father,1
TARDIS(es),1
Time Lord,1
Dementors,1
Klaus Mikaelson,1
Hufflepuff Students,1
Slytherin Students,1
John Watson,1
Sherlock Holmes,1
