Canon - Typical Violence,freq
Harry Potter,218
Draco Malfoy,123
Hermione Granger,99
none,81
Original Female Character,51
Sirius Black,50
Severus Snape,50
Remus Lupin,38
Tom Riddle,36
James Potter,29
Lily Evans Potter,27
Reader,21
Regulus Black,20
Ron Weasley,18
Ginny Weasley,18
Voldemort,18
Cedric Diggory,14
Original Percival Graves,14
Fred Weasley,13
Credence Barebone,12
Original Character,12
Neville Longbottom,11
Bellatrix Black Lestrange,9
Lucius Malfoy,8
Narcissa Black Malfoy,8
Original Male Character,6
George Weasley,6
Daryl Dixon,5
Minor or Background Relationship,5
Luna Lovegood,5
Percy Jackson,5
Theodore Nott,5
Hatake Kakashi,4
Aster Potter,4
Hannibal Lecter,4
Will Graham,4
James Bucky Barnes,4
Nymphadora Tonks,4
Portgas D. Ace,3
Damian Wayne,3
Peter Parker,3
Other Relationship Tags to Be Added,3
Charlie Weasley,3
Teddy Lupin,3
Sherlock Holmes,3
Tony Stark,3
Gellert Grindelwald,3
Albus Dumbledore,3
Hope Lupin,3
Lyall Lupin,3
Everyone,3
Annabeth Chase,3
Minerva McGonagall,3
Mycroft Holmes,3
Blaise Zabini,3
Viktor Krum,3
Newt Scamander,3
Andrew Minyard,2
Neil Josten,2
Kaminari Denki,2
Shinsou Hitoshi,2
Greg Lestrade,2
John Watson,2
Gregory Goyle,2
Seamus Finnigan,2
Daphne Greengrass,2
Haruno Sakura,2
Uchiha Sasuke,2
Uzumaki Naruto,2
Female Harry Potter,2
Jon Snow,2
Reborn (Katekyou Hitman Reborn!),2
Anakin Skywalker,2
Natasha Romanov ,2
Gerard Way,2
Tobey Maguire,2
Death,2
Ianto Jones,2
Jack Harkness,2
Edward Elric,2
Todoroki Shouto,2
Loki,2
Fleur Delacour,2
Pansy Parkinson,2
Andromeda Black Tonks,2
Dorcas Meadowes,2
Marlene McKinnon,2
Mutou Yuugi,2
Yuuhi Kurenai,2
Salazar Slytherin,2
Uchiha Itachi,2
Wade Wilson,2
John Sheppard,2
Rodney McKay,2
Ron Weasley (family),2
Dudley Dursley,2
Scorpius Malfoy,2
Gabrielle Delacour,2
Tina Goldstein,2
Aleta Ogord,1
Stakar Ogord,1
