Grief/Mourning,freq
Harry Potter,297
Draco Malfoy,215
Hermione Granger,161
Sirius Black,136
Remus Lupin,131
none,97
Severus Snape,81
George Weasley,57
Ginny Weasley,54
Original Female Character,53
Ron Weasley,46
Luna Lovegood,43
Lily Evans Potter,42
James Potter,41
Fred Weasley,23
Andromeda Black Tonks,18
Reader,17
Narcissa Black Malfoy,16
Nymphadora Tonks,13
Cedric Diggory,13
Regulus Black,13
Molly Weasley,13
Cho Chang,12
Astoria Greengrass,12
Scorpius Malfoy,12
Original Character,11
Tom Riddle,11
Marlene McKinnon,11
Charlie Weasley,10
Minerva McGonagall,10
Percy Weasley,10
Theodore Nott,9
Pansy Parkinson,9
Voldemort,9
Neville Longbottom,9
Lucius Malfoy,8
Arthur Weasley,8
Bill Weasley,7
Newt Scamander,7
Albus Severus Potter,7
Blaise Zabini,6
Angelina Johnson,6
Tina Goldstein,6
Ted Tonks,6
Bellatrix Black Lestrange,6
Original Male Character,6
Albus Dumbledore,6
Seamus Finnigan,6
Tony Stark,6
Oliver Wood,5
Petunia Evans Dursley,5
Lavender Brown,4
Dorcas Meadowes,4
Teddy Lupin,4
Remus Lupin - Relationship,4
Amelia Bones,4
Fleur Delacour,4
Hatake Kakashi,3
Uchiha Obito,3
Daphne Greengrass,3
Poppy Pomfrey,3
past Sirius Black,3
Xenophilius Lovegood,3
Jugson (Harry Potter),3
Marietta Edgecombe,3
Barnaby Lee,3
Theseus Scamander,3
Original Percival Graves,2
Rose Weasley,2
Victoire Weasley,2
Kreacher,2
Pandora Lovegood,2
Thor ,2
Peter Parker,2
Marcus Flint,2
Weasley Family,2
Alastor Moody,2
Kingsley Shacklebolt,2
Merula Snyde,2
Player Character,2
Gibbon,2
Dennis Creevey,2
Amos Diggory,2
Mrs Diggory,2
Salazar Slytherin,2
Ianto Jones,2
Jack Harkness,2
James Sirius Potter,1
Alphard Black,1
Harry Potter Characters,1
Marcus Belby,1
Susan Pevensie,1
Past Seamus Finnigan,1
Mary Macdonald,1
Brutus Malfoy,1
OFC,1
Gellert Grindelwald,1
Eric Matthews (Boy Meets World),1
Jack Hunter,1
Kurosaki Ichigo,1
Sado Chad Yasutora,1
