Alternate Universe - Soulmates,freq
Harry Potter,45
Draco Malfoy,24
Hermione Granger,21
Severus Snape,13
Tom Riddle,7
Remus Lupin,6
Ginny Weasley,6
Original Female Character,5
Sirius Black,5
Loki ,4
Ron Weasley,3
Voldemort,3
Bellatrix Black Lestrange,3
Theodore Nott,3
Reader,2
Credence Barebone,2
Original Percival Graves,2
Original Character,2
Fleur Delacour,2
Kylo Ren,2
Rey,2
Gomez Addams,1
Morticia Addams,1
Death,1
Fred Weasley,1
Thorfinn Rowle,1
Other Relationship Tags to Be Added,1
Kuroo Tetsurou,1
Tsukishima Kei,1
Albus Dumbledore,1
Gellert Grindelwald,1
Original Male Character,1
James Potter,1
Marcus Flint,1
Nymphadora Tonks,1
Lucius Malfoy,1
Pansy Parkinson,1
Neville Longbottom,1
Emmett Cullen,1
Fushichou Marco | Phoenix Marco,1
George Weasley,1
Narcissa Black Malfoy,1
Bill Weasley,1
Thor ,1
Akagami no Shanks | Red - Haired Shanks,1
Eren Yeager,1
Levi,1
