Canon Compliant,freq
Sirius Black,358
Harry Potter,346
Remus Lupin,342
none,253
James Potter,215
Hermione Granger,199
Lily Evans Potter,195
Ginny Weasley,183
Draco Malfoy,162
Ron Weasley,134
Severus Snape,98
Original Female Character,79
Albus Dumbledore,47
Regulus Black,46
Nymphadora Tonks,43
Albus Severus Potter,34
Scorpius Malfoy,30
Bellatrix Black Lestrange,28
Gellert Grindelwald,27
George Weasley,26
Voldemort,24
Tom Riddle,23
Luna Lovegood,23
Narcissa Black Malfoy,23
Neville Longbottom,20
Marlene McKinnon,20
Lucius Malfoy,17
Astoria Greengrass,17
Percy Weasley,17
Fred Weasley,16
Minerva McGonagall,16
Reader,16
Original Character,15
Charlie Weasley,14
Fleur Delacour,13
Pansy Parkinson,13
Peter Pettigrew,13
Andromeda Black Tonks,12
Bill Weasley,11
Theodore Nott,11
Original Male Character,10
Cedric Diggory,10
Blaise Zabini,9
Molly Weasley,9
Oliver Wood,9
Arthur Weasley,8
Angelina Johnson,8
Dean Thomas,8
Dorcas Meadowes,7
James Sirius Potter,7
Teddy Lupin,7
Mary Macdonald,7
Ted Tonks,6
Rodolphus Lestrange,6
Merula Snyde,6
Daphne Greengrass,6
Petunia Evans Dursley,6
Newt Scamander,6
Tina Goldstein,6
Evan Rosier,5
Hannah Abbott,5
Colin Creevey,5
Victoire Weasley,5
Lavender Brown,4
Bartemius Crouch Jr.,4
Vernon Dursley,4
Audrey Weasley,4
Cho Chang,4
Seamus Finnigan,4
Anthony Goldstein,4
Kreacher,3
Lily Luna Potter,3
Gideon Prewett,3
Viktor Krum,3
Dennis Creevey,3
Rolf Scamander,3
Marauders,3
Weasley Family,3
Lyall Lupin,3
Alice Longbottom,3
Walburga Black,3
Lily Evans,3
Player Character,3
Alastor Moody,3
Tracey Davis,3
Gilderoy Lockhart,3
Moaning Myrtle,3
Poppy Pomfrey,3
Parvati Patil,3
Hatake Kakashi,2
Annabeth Chase,2
Percy Jackson,2
Jae Kim,2
Amelia Bones,2
Merope Gaunt,2
Tom Riddle Sr.,2
Kim Taehyung | V,2
Other,2
Merlin (Merlin),2
Kimberly Hart,2
Trini,2
