Eventual Romance,freq
Hermione Granger,417
Draco Malfoy,413
Harry Potter,330
Original Female Character,256
Severus Snape,202
Reader,91
Sirius Black,83
Remus Lupin,75
Tom Riddle,73
Fred Weasley,47
James Potter,39
George Weasley,37
none,34
Lily Evans Potter,33
Ron Weasley,27
Voldemort,26
Lucius Malfoy,24
Regulus Black,22
Ginny Weasley,20
Original Male Character,18
Scorpius Malfoy,18
Original Character,17
Luna Lovegood,17
Bellatrix Black Lestrange,16
Charlie Weasley,15
Newt Scamander,14
Pansy Parkinson,13
Narcissa Black Malfoy,13
Rose Weasley,13
Neville Longbottom,12
Percy Weasley,9
James Sirius Potter,9
Blaise Zabini,9
Albus Severus Potter,8
Oliver Wood,8
Seamus Finnigan,7
Fleur Delacour,7
Original Percival Graves,6
Nymphadora Tonks,6
Cedric Diggory,6
Daphne Greengrass,5
Teddy Lupin,5
Astoria Greengrass,5
Theodore Nott,5
Albus Dumbledore,5
Other,4
Antonin Dolohov,4
Bill Weasley,4
Credence Barebone,4
Tina Goldstein,4
Rey,4
Kylo Ren,3
Minerva McGonagall,3
Gregory Goyle,3
Audrey Weasley,3
Thorfinn Rowle,3
Katie Bell,3
Marcus Flint,3
Other Relationship Tags to Be Added,3
Tracey Davis,3
Player Character,3
Peter Pettigrew,3
Petunia Evans Dursley,2
Jae Kim,2
Player Character (Hogwarts Mystery),2
Lavender Brown,2
Victoire Weasley,2
Delphi,2
Abraxas Malfoy,2
Salazar Slytherin,2
Loki ,2
Mary Macdonald,2
Fenrir Greyback,2
Peter Parker,2
Colin Creevey,2
Gellert Grindelwald,2
Andromeda Black Tonks,2
Ted Tonks,2
Loki,2
wolfstar - Relationship,2
Ben Solo,2
Dean Winchester,2
Dean Thomas,2
James Bucky Barnes,2
Viktor Krum,2
Steve Rogers,1
Buffy Summers,1
Rose Holmes,1
Azula (Avatar),1
Parvati Patil,1
Yamato | Tenzou,1
Jareth,1
Sarah Williams,1
John Watson,1
Sherlock Holmes,1
Harry Hart | Galahad,1
Twin Bond - Relationship,1
Harry Styles,1
Louis Tomlinson,1
Toogata Mirio,1
Lee Jordan,1
