Vaginal Sex,freq
Hermione Granger,320
Harry Potter,239
Draco Malfoy,162
Severus Snape,124
Reader,51
Ginny Weasley,43
Ron Weasley,36
Tom Riddle,32
Original Female Character,31
Pansy Parkinson,30
Sirius Black,27
Lucius Malfoy,25
Remus Lupin,25
Narcissa Black Malfoy,22
Lily Evans Potter,22
Charlie Weasley,20
Neville Longbottom,18
Fleur Delacour,18
George Weasley,17
Daphne Greengrass,16
James Potter,14
Bellatrix Black Lestrange,13
Newt Scamander,13
Fred Weasley,12
Lily Luna Potter,12
Luna Lovegood,12
none,11
Nymphadora Tonks,11
Horace Slughorn,11
Blaise Zabini,10
Bill Weasley,9
Theodore Nott,9
Original Character,9
James Sirius Potter,9
Rose Weasley,7
Tina Goldstein,7
Viktor Krum,6
Voldemort,6
Natasha Romanov ,6
Player Character,5
Andromeda Black Tonks,4
Other,4
Parvati Patil,4
Dominique Weasley,4
Leta Lestrange,4
Arthur Weasley,4
Teddy Lupin,4
Albus Severus Potter,4
Barnaby Lee,4
Loki ,4
Lavender Brown,3
Antonin Dolohov,3
Astoria Greengrass,3
Player Character (Hogwarts Mystery),3
Petunia Evans Dursley,3
Percy Weasley,3
Molly Weasley,3
Original Male Character,3
Tony Stark,3
Thorfinn Rowle,2
Marlene McKinnon,2
Astoria Malfoy,2
Hannah Abbott,2
Marcus Flint,2
Darcy Lewis,2
Abraxas Malfoy,2
Harry,2
Rodolphus Lestrange,2
Delphi,2
Fenrir Greyback,2
Septima Vector,2
Theseus Scamander,2
Albus Dumbledore,2
Gellert Grindelwald,2
Argus Filch,2
Cedric Diggory,2
Vernon Dursley,2
Aurora Sinistra,2
Cormac McLaggen,2
Queenie Goldstein,2
Minerva McGonagall,2
Clint Barton,2
Kara Zor - El,2
Rubeus Hagrid,2
Circe Avery,1
Mrs Granger,1
Daenerys Targaryen,1
Mr Granger,1
Penny Haywood,1
Eleanor,1
Susan,1
Oliver Wood,1
Hermione - Relationship,1
bill Weasley,1
Sybill Trelawney,1
Portrait Severus Snape,1
Arya Stark,1
Tracey Davis,1
Loki,1
Thor ,1
Richard Winters,1
