Blow Jobs,freq
Harry Potter,691
Draco Malfoy,523
Hermione Granger,163
Severus Snape,135
Sirius Black,123
Remus Lupin,113
Ron Weasley,54
Ginny Weasley,32
Reader,31
Scorpius Malfoy,31
Lucius Malfoy,29
Albus Severus Potter,28
Tom Riddle,24
Teddy Lupin,22
Neville Longbottom,21
Original Female Character,20
Original Percival Graves,19
Theodore Nott,18
George Weasley,17
Oliver Wood,16
Pansy Parkinson,16
James Potter,15
Voldemort,15
Gellert Grindelwald,14
Fred Weasley,14
none,14
Newt Scamander,14
James Sirius Potter,13
Blaise Zabini,13
Charlie Weasley,12
Albus Dumbledore,11
Credence Barebone,11
Nymphadora Tonks,10
Narcissa Black Malfoy,10
Original Male Character,9
Daphne Greengrass,8
Marcus Flint,8
Bill Weasley,8
Seamus Finnigan,8
Fleur Delacour,6
Percy Weasley,6
Dean Thomas,6
Cormac McLaggen,6
Regulus Black,5
Luna Lovegood,5
Arthur Weasley,5
Vernon Dursley,5
Colin Creevey,4
Susan Bones,4
Lily Evans Potter,4
Player Character (Hogwarts Mystery),3
Bellatrix Black Lestrange,3
Viktor Krum,3
Lavender Brown,3
Bartemius Crouch Sr.,3
Peter Pettigrew,3
Cedric Diggory,3
Horace Slughorn,3
Player Character,3
Theseus Scamander,3
Parvati Patil,2
Millicent Bulstrode,2
Gregory Goyle,2
Quirinus Quirrell,2
Darcy Lewis,2
Tina Goldstein,2
Finn O&#39;Hara,2
Leo Knut,2
Logan Tremblay (lumosinlove),2
F4M,2
Cho Chang,2
Original Character,2
Jon Snow,2
Rose Weasley,2
Adrian Pucey,2
Andromeda Black Tonks,2
Cornelius Fudge,2
Dominique Weasley,2
Circe Avery,1
L,1
Mr Granger,1
Giant Squid,1
Harry Hart | Galahad,1
Rolf Scamander,1
Grail Ashford,1
Lore),1
Medusa (Ancient Greek Religion,1
Voldemort (Harry Potter),1
Harry Styles,1
Louis Tomlinson,1
Jasper Hale,1
Isaac Lahey,1
Jackson Whittemore,1
Dobby,1
Jeon Jungkook,1
Min Yoongi | Suga,1
Astoria Malfoy,1
Bakugou Katsuki,1
Midoriya Izuku,1
Lee Jordan,1
O&#39;Knutzylus,1
