Dark,freq
Hermione Granger,103
Draco Malfoy,75
Harry Potter,69
Severus Snape,32
Tom Riddle,31
Voldemort,16
none,12
Lucius Malfoy,11
Bellatrix Black Lestrange,9
Ginny Weasley,9
Original Female Character,7
Ron Weasley,6
Lily Evans Potter,6
Reader,5
Gellert Grindelwald,4
Bill Weasley,3
James Potter,3
Albus Dumbledore,3
Fred Weasley,2
Narcissa Black Malfoy,2
Regulus Black,2
Luna Lovegood,2
Player Character (Hogwarts Mystery),2
Fleur Delacour,2
Pansy Parkinson,2
Other,2
Bruce Wayne,2
Joker (DCU),2
James Sirius Potter,2
Sirius Black,2
Neville Longbottom,2
Aro (Twilight),1
Bartemius Crouch Jr,1
Marlene McKinnon,1
Augustus Rookwood,1
Blaise Zabini,1
Theodore Nott,1
Bartemius Crouch Jr.,1
Cedric Diggory,1
Vernon Dursley,1
Victoria Ainsley,1
Abernathy,1
Original Character,1
Fenrir Greyback,1
unknown as of yet,1
Eileen Prince,1
Dexter Morgan,1
Remus Lupin,1
Jeffrey Woods | Jeff The Killer,1
Kreacher,1
Barty Crouch Jr,1
OFC,1
Caroline Forbes,1
Klaus Mikaelson,1
Horcrux,1
Antonin Dolohov,1
Loki ,1
Dabi,1
Dudley Dursley,1
James Bucky Barnes,1
Newt Scamander,1
Torquil Travers,1
Andromeda Black,1
Dean Winchester,1
