Plot What Plot/Porn Without Plot,freq
Harry Potter,508
Draco Malfoy,487
Hermione Granger,374
Severus Snape,145
Sirius Black,114
Remus Lupin,95
Lucius Malfoy,64
Ginny Weasley,53
Ron Weasley,46
Reader,34
Pansy Parkinson,34
Theodore Nott,30
Voldemort,28
Tom Riddle,23
Narcissa Black Malfoy,23
Charlie Weasley,22
Blaise Zabini,22
George Weasley,21
Neville Longbottom,19
James Potter,18
Fred Weasley,18
Albus Dumbledore,18
Original Female Character,17
Bellatrix Black Lestrange,17
Gellert Grindelwald,16
Original Percival Graves,16
Newt Scamander,15
Scorpius Malfoy,14
Fleur Delacour,13
Cormac McLaggen,13
Luna Lovegood,12
none,11
Albus Severus Potter,11
James Sirius Potter,10
Viktor Krum,10
Teddy Lupin,10
Lily Luna Potter,9
Theseus Scamander,9
Lily Evans Potter,8
Bill Weasley,8
Credence Barebone,8
Fenrir Greyback,8
Nymphadora Tonks,7
Lavender Brown,7
Oliver Wood,7
Aurora Sinistra,7
Original Male Character,6
Dean Thomas,6
Daphne Greengrass,6
Peter Pettigrew,6
Seamus Finnigan,6
Percy Weasley,5
Rose Weasley,5
Leta Lestrange,5
Cedric Diggory,5
Marcus Flint,5
Regulus Black,4
Susan Bones,4
Molly Weasley,4
Parvati Patil,4
Horace Slughorn,4
Angelina Johnson,3
Original Character,3
Argus Filch,3
Arthur Weasley,3
Tina Goldstein,3
Evelyn Black,3
Rubeus Hagrid,3
Gregory Goyle,3
Hannah Abbott,2
Severus snape,2
Astoria Greengrass,2
Minerva McGonagall,2
Alicia Spinnet,2
Jack Sparrow,2
Dean Winchester,2
Padma Patil,2
Antonin Dolohov,2
Desmond Miles,2
Percival Graves | Gellert Grindelwald,2
Colin Creevey,2
Queenie Goldstein,2
Plant,2
Victoire Weasley,2
Dominique Weasley,2
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay (lumosinlove),1
Graham Montague,1
Harry Hart | Galahad,1
Hermione - Relationship,1
Anakin Skywalker,1
Frank Zhang,1
Percy Jackson,1
Rolf Scamander,1
Prince Charmont (Ella Enchanted),1
Arya Stark,1
Spencer Reid,1
Chiara Lobosca,1
Penny Haywood,1
Damon Salvatore,1
