Falling In Love,freq
Harry Potter,169
Draco Malfoy,148
Hermione Granger,72
Severus Snape,59
Original Female Character,30
Sirius Black,24
Remus Lupin,19
Tom Riddle,16
Original Percival Graves,12
Credence Barebone,11
Fred Weasley,9
Reader,8
Charlie Weasley,8
Neville Longbottom,7
Theodore Nott,6
Pansy Parkinson,6
Voldemort,5
George Weasley,5
Lucius Malfoy,5
Ron Weasley,5
Nymphadora Tonks,4
Ginny Weasley,4
Teddy Lupin,4
none,4
James Potter,3
Narcissa Black Malfoy,3
Loki ,2
Marlene McKinnon,2
Regulus Black,2
Bellatrix Black Lestrange,2
Newt Scamander,2
Andromeda Black Tonks,2
Marcus Flint,2
Oliver Wood,2
Daphne Greengrass,2
Albus Dumbledore,2
Scorpius Malfoy,2
Asami Ryuichi,2
James Sirius Potter,2
Other,1
Bill Weasley,1
Harry Hart | Galahad,1
Gilderoy Lockhart,1
oc,1
theo nott,1
Luna Lovegood,1
Harry potter,1
Loona,1
Fleur Delacour,1
Hugo Weasley,1
Blaise Zabini,1
Ask Me,1
Girl Of Readerr Dreams,1
Belle Blackwood,1
Gellert Grindelwald,1
Luna Lightfoot,1
beth harmon,1
draco malfoy,1
daenerys targaryen,1
dorian havilliard,1
Albus Severus Potter,1
Pennywise (It),1
o&#39;knutzy - Relationship,1
Antonin Dolohov,1
Kylo Ren,1
Rey,1
Scorpius,1
Teddy,1
Ted Tonks,1
Stephen Strange,1
Abraxas Malfoy,1
Colin Farrell,1
Gladio | Gladion,1
Percy Weasley,1
Tony Stark,1
Angus MacGyver (MacGyver TV 2016),1
Heimdall ,1
Tsu&#39;tey te Rongloa Ateyitan,1
Multi,1
Rose Weasley,1
Molly Weasley,1
Clint Barton,1
Poppy,1
