Explicit Sexual Content,freq
Hermione Granger,818
Draco Malfoy,673
Harry Potter,634
Severus Snape,225
Original Female Character,139
Sirius Black,98
Tom Riddle,88
Remus Lupin,86
Ron Weasley,66
Pansy Parkinson,58
Lucius Malfoy,57
Ginny Weasley,55
Charlie Weasley,38
Voldemort,34
Theodore Nott,33
Fred Weasley,32
Neville Longbottom,31
Narcissa Black Malfoy,29
James Potter,28
Scorpius Malfoy,27
Reader,23
Albus Severus Potter,21
Blaise Zabini,20
Lily Evans Potter,20
Luna Lovegood,20
George Weasley,20
Daphne Greengrass,19
Bellatrix Black Lestrange,19
none,18
Teddy Lupin,18
Fleur Delacour,18
Natasha Romanov ,15
James Sirius Potter,15
Original Percival Graves,14
Original Male Character,12
Credence Barebone,11
Nymphadora Tonks,10
Cormac McLaggen,10
Regulus Black,9
Astoria Greengrass,9
Albus Dumbledore,9
Viktor Krum,8
Lily Luna Potter,8
Horace Slughorn,8
Tony Stark,8
Percy Weasley,7
Oliver Wood,7
Bill Weasley,7
Newt Scamander,7
Gellert Grindelwald,7
Thorfinn Rowle,7
Dominique Weasley,7
Seamus Finnigan,6
Dean Winchester,6
Rose Weasley,5
Lavender Brown,5
Marcus Flint,5
Original Character,5
Fenrir Greyback,5
Andromeda Black Tonks,4
Rodolphus Lestrange,4
Victoire Weasley,4
Adrian Pucey,4
Wanda Maximoff,4
Parvati Patil,4
Dean Thomas,4
Kingsley Shacklebolt,4
Jean - Claude (Anita Blake),4
Antonin Dolohov,4
Angelina Johnson,4
Cedric Diggory,4
Marlene McKinnon,4
Stiles Stilinski,3
Player Character (Hogwarts Mystery),3
Colin Creevey,3
Cassandra Burke Goyle (Original Character),3
Susan Bones,3
Darcy Lewis,3
Padma Patil,3
Molly Weasley,3
Hannah Abbott,3
Bartemius Crouch Jr.,3
Edward (Anita Blake),3
Micah Callahan,3
Barnaby Lee,3
Loki ,3
Ted Tonks,2
Aster Potter,2
Derek Hale,2
Jae Kim,2
Millicent Bulstrode,2
Minerva McGonagall,2
Rabastan Lestrange,2
Caelum Lestrange,2
Tom Riddle Sr.,2
Petunia Evans Dursley,2
Astoria Malfoy,2
Delphi,2
Louis Weasley,2
Severus Snape - Relationship,2
Jacob Black,2
