Light Angst,freq
Harry Potter,581
Draco Malfoy,508
Hermione Granger,286
Sirius Black,252
Remus Lupin,232
Severus Snape,105
none,73
Reader,59
Original Female Character,55
Ron Weasley,51
Pansy Parkinson,48
Tom Riddle,43
Ginny Weasley,42
James Potter,39
George Weasley,31
Luna Lovegood,30
Neville Longbottom,30
Scorpius Malfoy,30
Lily Evans Potter,29
Albus Severus Potter,26
Fred Weasley,25
Regulus Black,21
Voldemort,20
Theodore Nott,20
Original Percival Graves,19
Bellatrix Black Lestrange,17
Blaise Zabini,17
Percy Weasley,16
James Sirius Potter,15
Oliver Wood,15
Lucius Malfoy,15
Gellert Grindelwald,15
Charlie Weasley,13
Teddy Lupin,13
Marcus Flint,12
Daphne Greengrass,11
Albus Dumbledore,11
Narcissa Black Malfoy,10
Cho Chang,10
Fleur Delacour,10
Dean Thomas,9
Newt Scamander,8
Seamus Finnigan,7
Original Character,7
Rose Weasley,7
Cedric Diggory,7
Credence Barebone,7
Astoria Greengrass,6
Viktor Krum,6
Andromeda Black Tonks,6
Lavender Brown,5
Mary Macdonald,5
Nymphadora Tonks,5
Bill Weasley,5
Tony Stark,5
Salazar Slytherin,4
Minerva McGonagall,4
Annabeth Chase,4
Percy Jackson,4
Molly Weasley,4
Sherlock Holmes,4
Kingsley Shacklebolt,3
Marlene McKinnon,3
Padma Patil,3
Lily Luna Potter,3
John Watson,3
Finn O&#39;Hara,3
Leo Knut,3
Peter Pettigrew,3
Loki,3
Alecto Carrow,3
Jeon Jungkook,3
Dudley Dursley,3
Hannibal Lecter,2
Will Graham,2
Godric Gryffindor,2
Rodolphus Lestrange,2
Hugo Weasley,2
Original Male Character,2
Talbott Winger,2
Millicent Bulstrode,2
Penelope Clearwater,2
Lee Jordan,2
Pomona Sprout,2
Lily Evans,2
Alicia Spinnet,2
Logan Tremblay (lumosinlove),2
Ted Tonks,2
Fenrir Greyback,2
Midoriya Izuku,2
Park Jimin,2
Angelina Johnson,2
James Bucky Barnes,2
Loki ,2
Theseus Scamander,2
Tina Goldstein,2
Tracey Davis,2
Arthur Weasley,2
Кеша Гинс,2
Костя Кот,2
Antonin Dolohov,2
