Alternate Universe - Canon Divergence,freq
Harry Potter,318
Hermione Granger,299
Draco Malfoy,198
Severus Snape,105
Sirius Black,76
Remus Lupin,61
Bellatrix Black Lestrange,58
Tom Riddle,48
Voldemort,46
Ron Weasley,28
Original Female Character,25
Lucius Malfoy,24
Ginny Weasley,21
James Potter,21
Albus Dumbledore,15
Gellert Grindelwald,15
Fleur Delacour,13
Original Percival Graves,13
Theodore Nott,12
Lily Evans Potter,12
Credence Barebone,12
Nymphadora Tonks,11
none,11
Neville Longbottom,9
Blaise Zabini,9
Reader,9
Pansy Parkinson,8
Luna Lovegood,8
Regulus Black,7
Original Male Character,7
Fred Weasley,7
Daphne Greengrass,7
Narcissa Black Malfoy,6
Cedric Diggory,5
Lavender Brown,5
Charlie Weasley,5
George Weasley,4
Newt Scamander,4
Hannibal Lecter,3
Will Graham,3
Viktor Krum,3
Fenrir Greyback,3
Vernon Dursley,3
Dean Thomas,3
Thorfinn Rowle,3
Theseus Scamander,3
Marcus Flint,3
Arthur Weasley,2
Molly Weasley,2
Other Relationship Tags to Be Added,2
Percy Weasley,2
Death,2
Thor ,2
Parvati Patil,2
Delphi,2
Seamus Finnigan,2
Loki ,2
Rick Grimes,2
Leta Lestrange,2
Jacob Black,2
Bartemius Crouch Jr.,2
Lily Evans,2
Harem,2
Tony Stark,2
Teddy Lupin,2
Other,2
Andromeda Black Tonks,2
Bill Weasley,2
Dean Winchester,2
Asami Ryuichi,1
Bellamy Blake,1
OMC,1
Past Lily Evens Potter,1
Former Harry Potter,1
Harry Hart | Galahad,1
Malachai Kai Parker,1
Liǔ Qīnggē,1
Peter Hale,1
Stiles Stilinski,1
Gomez Addams,1
Morticia Addams,1
Richard B. Riddick,1
Frank Zhang,1
Percy Jackson,1
Klaus Mikaelson,1
Stefan Salvatore,1
Angus MacGyver (MacGyver TV 2016),1
Darth Maul,1
Mary Macdonald,1
Marlene McKinnon,1
Petunia Evans Dursley,1
Catherine Carter,1
Henry Carter,1
Ianto Jones,1
Jack Harkness,1
Orion Black,1
Tracey Davis,1
Loki,1
TK Strand,1
All,1
Lucy Heartfilia,1
