Art,freq
Harry Potter,54
Draco Malfoy,45
Hermione Granger,26
Severus Snape,22
none,6
Newt Scamander,6
Ron Weasley,4
Lucius Malfoy,4
Original Percival Graves,4
Theodore Nott,3
Tina Goldstein,3
Teddy Lupin,3
Lily Evans Potter,2
Tom Riddle,2
Pansy Parkinson,2
Remus Lupin,2
Sirius Black,2
Gilderoy Lockhart,2
Alastor Moody,2
Arthur Weasley,2
Marauders,2
James Potter,1
Voldemort,1
Ginny Weasley,1
James Sirius Potter,1
Neville Longbottom,1
Antonin Dolohov,1
Thorfinn Rowle,1
Fred Weasley,1
Narcissa Black Malfoy,1
Mistress M,1
Firenze,1
Rubeus Hagrid,1
Scorpius Malfoy,1
Madam Rosmerta,1
Molly Weasley,1
Marcus Flint,1
Bill Weasley,1
Charlie Weasley,1
Nymphadora Tonks,1
Credence Barebone,1
Jason Voorhees,1
Reader,1
Sesshomaru,1
Oliver Wood,1
Percy Weasley,1
Hungarian Horntail,1
Luna Lovegood,1
Original Male Character,1
