Humor,freq
Harry Potter,219
Draco Malfoy,189
Hermione Granger,109
Severus Snape,58
Sirius Black,40
Remus Lupin,37
Original Female Character,16
Voldemort,16
Tom Riddle,15
Ron Weasley,12
Lucius Malfoy,12
Albus Severus Potter,11
Scorpius Malfoy,10
Charlie Weasley,8
Pansy Parkinson,7
Fred Weasley,5
James Potter,5
Blaise Zabini,5
Neville Longbottom,5
Ginny Weasley,5
Narcissa Black Malfoy,4
Theodore Nott,4
Nymphadora Tonks,3
Cormac McLaggen,3
none,3
Gilderoy Lockhart,3
Marcus Flint,2
Oliver Wood,2
Lily Evans Potter,2
Teddy Lupin,2
Albus Dumbledore,2
George Weasley,2
Aziraphale,2
Crowley ,2
James Sirius Potter,2
Peter Griffin,1
Sans,1
Millie,1
Moxxie (Helluva Boss),1
Tony Stark,1
Jae Kim,1
Player Character (Hogwarts Mystery),1
James Bucky Barnes,1
Minerva McGonagall,1
Eren Yeager,1
Levi Ackerman,1
TK Strand,1
Lily Luna Potter,1
Rita Skeeter,1
ginny weasley,1
wade winston wilson (deadpool),1
Reader,1
Steve Rogers,1
Thorfinn Rowle,1
Severus Snape - Relationship,1
Gellert Grindelwald,1
Alice Longbottom,1
Jacob Black,1
Dean Winchester,1
Barnaby Lee,1
Cedric Diggory,1
Gregory Goyle,1
Cho Chang,1
Horse,1
Aurora Sinistra,1
Lavender Brown,1
Bernard Granger,1
Jane Stirling,1
Bellatrix Black Lestrange,1
Bill Weasley,1
Arthur Weasley,1
Molly Weasley,1
Keiko,1
Yusuke,1
Scabior,1
Luisa Alver,1
Rose Solano,1
Other,1
Katie Bell,1
everyone,1
peeves,1
Plant,1
Are meant to be a surprise,1
Regulus Black,1
Abernathy,1
Gunnar Grimmson,1
