Slow Burn,freq
Draco Malfoy,386
Harry Potter,337
Hermione Granger,294
Severus Snape,138
Original Female Character,67
Sirius Black,59
Remus Lupin,56
Tom Riddle,55
Reader,33
Voldemort,19
Ron Weasley,15
Bellatrix Black Lestrange,14
Original Percival Graves,14
Fred Weasley,13
Charlie Weasley,13
Lucius Malfoy,11
Original Character,11
Gellert Grindelwald,10
Newt Scamander,10
James Potter,10
Ginny Weasley,9
Neville Longbottom,9
Credence Barebone,9
George Weasley,8
Theodore Nott,7
Albus Dumbledore,6
none,6
Lily Evans Potter,6
Narcissa Black Malfoy,6
Nymphadora Tonks,5
Pansy Parkinson,4
Marcus Flint,4
Luna Lovegood,4
James Sirius Potter,4
Rey,4
Other,3
Daphne Greengrass,3
Cedric Diggory,3
Regulus Black,3
Fenrir Greyback,3
Scorpius Malfoy,3
Eventual Sirius Black,2
Andromeda Black Tonks,2
Ted Tonks,2
OFC,2
Antonin Dolohov,2
Albus Severus Potter,2
Harry Styles,2
Louis Tomlinson,2
Oliver Wood,2
Blaise Zabini,2
Draco,2
Snape,2
Kylo Ren,2
Ben Solo,2
Player Character (Hogwarts Mystery),2
Teddy Lupin,2
Dean Winchester,2
Anakin Skywalker,2
Original Male Character,2
Viktor Krum,2
Ron Weasley (past),1
James Potter and Remus,1
Lily,1
L,1
Severus Snape x Reader,1
Penny Haywood,1
oc (Charlie),1
tom riddle,1
Steve Rogers,1
Miya Atsumu,1
Miya Osamu,1
Peter Hale,1
Stiles Stilinski,1
Gomez Addams,1
Morticia Addams,1
Colin Farrell,1
Ezra Miller,1
Lily Evans,1
Darth Maul,1
oc,1
theo nott,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Minerva McGonagall,1
Rolanda Hooch,1
Coco,1
Sunny,1
Toriko,1
Zebra,1
Miroku,1
Sango (InuYasha),1
Astoria Greengrass,1
Klaus Mikaelson,1
Lavender Brown,1
Parvati Patil,1
Lily Luna Potter,1
Loki ,1
Bill Weasley,1
Original Characters,1
Remus Lupin - Relationship,1
