Dark Magic,freq
Harry Potter,240
Draco Malfoy,180
Hermione Granger,150
none,88
Tom Riddle,84
Original Female Character,83
Voldemort,57
Severus Snape,54
Sirius Black,27
Bellatrix Black Lestrange,21
Ron Weasley,16
Remus Lupin,16
Lucius Malfoy,14
Regulus Black,13
Ginny Weasley,11
James Potter,10
Original Character,10
Reader,10
Gellert Grindelwald,9
Albus Dumbledore,8
Lily Evans Potter,8
Original Male Character,8
Narcissa Black Malfoy,8
Fred Weasley,6
Other,5
Daphne Greengrass,5
Pansy Parkinson,5
James Sirius Potter,5
Luna Lovegood,4
George Weasley,4
Walburga Black,4
Tracey Davis,4
Rey,3
Petunia Evans Dursley,3
Orion Black,3
Original Percival Graves,3
No Romantic Relationship,3
Blaise Zabini,3
Bartemius Crouch Jr.,3
Scorpius Malfoy,2
Amy Benson,2
Undecided,2
Seamus Finnigan,2
Rabastan Lestrange,2
Cho Chang,2
Merula Snyde,2
Bill Weasley,2
Kylo Ren,2
Vernon Dursley,2
Credence Barebone,2
Cygnus Black,2
Druella Rosier Black,2
Teddy Lupin,2
Marcus Flint,2
Albus Severus Potter,2
Lily Luna Potter,2
Neville Longbottom,2
Eileen Prince,2
Andromeda Black Tonks,2
Charlie Weasley,2
Gregory Goyle,1
Corpse Husband,1
Jeremy Wang,1
Rachel Rae Hofstetter,1
Sykkuno,1
Aro (Twilight),1
Bartemius Crouch Jr,1
Azula (Avatar),1
Derek Morgan,1
Jareth,1
Sarah Williams,1
Hiccup Horrendous Haddock III,1
Jack Frost,1
Jack Frost (Guardians of Childhood),1
Wong Yuk Hei | Lucas,1
Talbott Winger,1
Malachai Kai Parker,1
Charlus Potter,1
Dorea Black Potter,1
Optimus Prime,1
Sam Witwicky,1
Lisa Turpin,1
Su Li,1
Theodore Nott,1
Barnaby Lee,1
Athena Rhodes,1
Augustus Rookwood,1
Asterin Nott,1
Granger - Weasley,1
Malfoy,1
Abraxas Malfoy,1
Peter Pettigrew,1
Rose Weasley,1
Kuroro Lucifer | Chrollo Lucifer,1
All,1
?,1
Percy Jackson,1
Percy Weasley,1
background Sirius Black,1
Cedric Diggory,1
Sam Manson,1
