Coming Out,freq
Harry Potter,52
Draco Malfoy,47
Remus Lupin,23
Sirius Black,20
Hermione Granger,4
Ron Weasley,4
James Sirius Potter,3
Teddy Lupin,3
Nymphadora Tonks,3
James Potter,3
Scorpius Malfoy,3
Dean Thomas,2
Severus Snape,2
Ginny Weasley,2
Luna Lovegood,2
Albus Severus Potter,2
Blaise Zabini,1
Harry Styles,1
Louis Tomlinson,1
Kreacher,1
Regulus Black,1
Lavender Brown,1
Parvati Patil,1
Seamus Finnigan,1
Credence Barebone,1
Original Percival Graves,1
Charlie Weasley,1
Pansy Parkinson,1
Castiel,1
Dean Winchester,1
Albus,1
James,1
Scorpius,1
Teddy,1
Scorpius Malfoy - Lupin,1
Teddy Malfoy - Lupin,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Lily Luna Potter,1
Oliver Wood,1
Percy Weasley,1
Lucius Malfoy,1
Sybill Trelawney,1
Original Male Character,1
Angela Beck,1
Sally Hill,1
Hannah Abbott,1
Justin Finch - Fletchley,1
Tom Riddle,1
