Top Harry Potter,freq
Harry Potter,388
Draco Malfoy,281
Severus Snape,46
Lucius Malfoy,15
Voldemort,11
Tom Riddle,8
Ron Weasley,4
Teddy Lupin,3
Sirius Black,3
Tony Stark,3
Albus Dumbledore,3
Remus Lupin,2
Scorpius Malfoy,2
Theodore Nott,2
Other,2
Bill Weasley,1
Clark Kent,1
Colin Creevey,1
Jasper Hale,1
Lily Evans Potter,1
Spike (BtVS),1
Hermione Granger,1
Viserys Targaryen,1
Marcus Flint,1
James Sirius Potter,1
Angel (BtVS),1
Viktor Krum,1
Rigo Vasquez,1
Peter Hale,1
Neville Longbottom,1
Blaise Zabini,1
none,1
Edward Kenway,1
Orm Marius,1
Piers Polkiss,1
Haytham Kenway,1
Ned Stark,1
