Post - Battle of Hogwarts,freq
Draco Malfoy,498
Harry Potter,456
Hermione Granger,350
Ginny Weasley,94
none,93
Severus Snape,91
Ron Weasley,85
Original Female Character,72
Luna Lovegood,51
George Weasley,49
Reader,48
Fred Weasley,45
Remus Lupin,44
Neville Longbottom,42
Pansy Parkinson,36
Sirius Black,23
Charlie Weasley,22
Blaise Zabini,21
Lucius Malfoy,17
Theodore Nott,17
Oliver Wood,17
Narcissa Black Malfoy,16
Percy Weasley,16
Voldemort,11
Nymphadora Tonks,11
Astoria Greengrass,11
Fleur Delacour,10
Bellatrix Black Lestrange,10
Original Character,9
Bill Weasley,9
Dean Thomas,9
Minerva McGonagall,8
Tom Riddle,8
Seamus Finnigan,8
Andromeda Black Tonks,7
Viktor Krum,7
Lavender Brown,7
Daphne Greengrass,7
James Potter,6
Regulus Black,6
Marcus Flint,5
Angelina Johnson,5
Molly Weasley,5
Teddy Lupin,5
Arthur Weasley,5
Cormac McLaggen,5
Original Male Character,4
Lily Evans Potter,4
Percy Jackson,4
Salazar Slytherin,4
Padma Patil,4
Cedric Diggory,4
Adrian Pucey,3
Ted Tonks,3
Annabeth Chase,3
Scorpius Malfoy,3
Elsa (Disney),3
Jasper Hale,3
Gregory Goyle,3
Pomona Sprout,2
Other,2
Delphi,2
Dean Winchester,2
Ernie Macmillan,2
Aurora Sinistra,2
Albus Severus Potter,2
Orignal Character,2
James Sirius Potter,2
Minor or Background Relationship,2
Godric Gryffindor,2
Jason Grace,2
Hannah Abbott,2
Susan Bones,2
Rolf Scamander,2
Natasha Romanov ,2
Fabian Prewett,2
Gideon Prewett,2
Gabrielle Delacour,2
Horace Slughorn,2
Drarry - Relationship,2
Robb Stark,2
Molly Hooper,2
Dennis Creevey,2
Colin Creevey,2
Victoire Weasley,2
Aziraphale,1
Crowley ,1
Kylo Ren,1
Rey,1
Albus Dumbledore,1
Merula Snyde,1
Player Character,1
Tony Stark,1
Hestia Carrow,1
Hiccup Horrendous Haddock III,1
Jack Frost,1
Jack Frost (Guardians of Childhood),1
Jane Foster,1
Loki,1
Jethro Gibbs,1
Karl Jacobs,1
