Hogwarts,freq
Draco Malfoy,115
Harry Potter,78
Hermione Granger,62
Severus Snape,54
Original Female Character,53
Remus Lupin,20
Sirius Black,19
Reader,18
Fred Weasley,13
none,10
Lucius Malfoy,8
James Potter,8
Ginny Weasley,8
Scorpius Malfoy,7
Ron Weasley,7
George Weasley,7
Tom Riddle,6
Albus Severus Potter,5
Neville Longbottom,5
Lily Evans Potter,5
Oliver Wood,5
Original Character,5
Original Male Character,4
Pansy Parkinson,4
Marcus Flint,4
Bellatrix Black Lestrange,3
Albus Dumbledore,3
Aurora Sinistra,3
Luna Lovegood,3
Peter Pettigrew,2
Other,2
Blaise Zabini,2
Colin Creevey,2
Daphne Greengrass,2
Cedric Diggory,2
Theodore Nott,2
Teddy Lupin,2
Theseus Scamander,2
Kunzite,1
Zoisite,1
Lavender Brown,1
Andromeda Black Tonks,1
Ted Tonks,1
Kylo Ren,1
Rey,1
Harry Hart | Galahad,1
Lauren Niemberg,1
Harry Styles,1
Louis Tomlinson,1
Asterin Nott,1
Dobby,1
Millicent Bulstrode,1
Hannah Abbott,1
Thorfinn Rowle,1
Butt sex - Relationship,1
So Many &#39;Ships On Which To Set Sail - but which to pick?,1
Draco,1
Hermione,1
Voldemort,1
Severus Snape - Relationship,1
Newt Scamander,1
Eleonora Severin,1
Ms. Zabini,1
husband,1
John Watson,1
Sherlock Holmes,1
Petyr Baelish,1
Sansa Stark,1
Cordelia Carstairs,1
James Herondale,1
Argus Filch,1
Hatake Kakashi,1
Plants,1
Antonio Silva,1
Inez Hernandez,1
Bartemius Crouch Jr.,1
Marlene McKinnon,1
Nico di Angelo,1
Will Solace,1
Jeon Jungkook,1
Basilisk,1
The Sorting Hat,1
Barnaby Lee,1
Jung Hoseok | J - Hope,1
Min Yoongi | Suga,1
Corban Yaxley,1
wolfstar - Relationship,1
Alice Kingsleigh,1
Mirana of Marmoreal,1
Gellert Grindelwald,1
Percy Weasley,1
Minerva McGonagall,1
Poppy Pomfrey,1
Cormac McLaggen,1
James Sirius Potter,1
Rose Weasley,1
Narcissa Black Malfoy,1
Castiel,1
Dean Winchester,1
Charlie Weasley,1
Eren Yeager,1
