Drabble,freq
Hermione Granger,34
Draco Malfoy,31
Harry Potter,27
Severus Snape,16
Ginny Weasley,7
George Weasley,6
Lucius Malfoy,5
Neville Longbottom,5
Theodore Nott,5
Pansy Parkinson,5
Charlie Weasley,4
Blaise Zabini,4
Ron Weasley,3
Angelina Johnson,3
Viktor Krum,3
Aurora Sinistra,3
Narcissa Black Malfoy,3
Bellatrix Black Lestrange,3
Voldemort,2
Sirius Black,2
Remus Lupin,2
Oliver Wood,2
Luna Lovegood,2
Cormac McLaggen,2
Original Female Character,2
Fred Weasley,2
Tom Riddle,1
Daphne Greengrass,1
Sam Wilson ,1
Reader,1
Gilderoy Lockhart,1
Kingsley Shacklebolt,1
Lavender Brown,1
Marcus Flint,1
Other,1
Bill Weasley,1
Antonin Dolohov,1
Thorfinn Rowle,1
Seamus Finnigan,1
Apple,1
none,1
