Sexual Content,freq
Draco Malfoy,111
Hermione Granger,111
Harry Potter,106
Severus Snape,31
Sirius Black,30
Remus Lupin,29
Tom Riddle,21
Original Female Character,14
Ginny Weasley,14
Fred Weasley,8
George Weasley,8
Nymphadora Tonks,7
Ron Weasley,7
Lucius Malfoy,6
Pansy Parkinson,6
Teddy Lupin,5
Reader,4
James Potter,4
Fleur Delacour,4
James Sirius Potter,4
Voldemort,4
Charlie Weasley,4
Theodore Nott,3
Fenrir Greyback,3
Marcus Flint,3
Original Percival Graves,3
Bartemius Crouch Jr.,3
Percy Weasley,3
Oliver Wood,2
Original Character,2
Blaise Zabini,2
Daphne Greengrass,2
Bellatrix Black Lestrange,2
Cormac McLaggen,2
Thor ,2
Peter Griffin,1
Sans,1
Original Male Character,1
Min Yoongi | Suga,1
Astoria Greengrass,1
Penny Haywood,1
Harry Hart | Galahad,1
James,1
Sirius,1
Miya Atsumu,1
Miya Osamu,1
Ianto Jones,1
Jack Harkness,1
Legolas Greenleaf,1
none,1
Death,1
Severus Snape - Relationship,1
Albus Dumbledore,1
Gellert Grindelwald,1
Credence Barebone,1
Lily Evans Potter,1
Madam Rosmerta,1
Ignatius Ig Perrish,1
Merrin Williams,1
Angelina Johnson,1
Lavender Brown,1
Parvati Patil,1
Castiel,1
Dean Winchester,1
Chester Davies,1
Player Character,1
Jax Teller,1
Thomas Teller I,1
Theseus Scamander,1
Newt Scamander,1
Thorfinn Rowle,1
Millicent Bulstrode,1
Tony Stark,1
Regulus Black,1
Peter Parker,1
Armitage Hux,1
Adrian Pucey,1
Dean Thomas,1
Neville Longbottom,1
Seamus Finnigan,1
Horace Slughorn,1
Jane Foster ,1
Molly Weasley,1
Arthur Pendragon (Merlin),1
Merlin,1
everyone,1
peeves,1
Bowtruckle,1
Whomping Willow,1
Gabrielle Delacour,1
