AU,freq
Harry Potter,42
Hermione Granger,40
Severus Snape,28
Draco Malfoy,23
Tom Riddle,8
Voldemort,7
Remus Lupin,6
Sirius Black,6
Bellatrix Black Lestrange,6
Gellert Grindelwald,5
Lucius Malfoy,5
Albus Dumbledore,4
Reader,4
none,4
James Potter,4
Regulus Black,3
Original Female Character,3
Ron Weasley,3
Ginny Weasley,2
Tony Stark,2
Pansy Parkinson,2
Lily Evans Potter,2
Marlene McKinnon,2
Scorpius Malfoy,2
Penny Haywood,1
Death,1
Clint Barton,1
Narcissa Black Malfoy,1
Neville Longbottom,1
Fred Weasley,1
George Weasley,1
Fenrir Greyback,1
Torquil Travers,1
Nymphadora Tonks,1
Andromeda Black Tonks,1
Thranduil,1
Jethro Gibbs,1
Cedric Diggory,1
Fleur Delacour,1
Aziraphale,1
Crowley ,1
Albus Severus Potter,1
Harry Potter x Harry Styles,1
Dean Thomas,1
Emmett Cullen,1
War,1
Andromeda Black,1
Newt Scamander,1
Original Percival Graves,1
Luna Lovegood,1
