Alternate Universe - Non - Magical,freq
Remus Lupin,47
Sirius Black,46
Harry Potter,45
Draco Malfoy,30
Hermione Granger,15
Tom Riddle,12
Severus Snape,11
Scorpius Malfoy,4
Original Percival Graves,3
James Potter,3
Regulus Black,2
Credence Barebone,2
Lily Luna Potter,2
none,2
Narcissa Black Malfoy,2
Pansy Parkinson,2
Newt Scamander,2
Albus Severus Potter,2
Lily Evans Potter,1
Minerva McGonagall,1
Fred Weasley,1
George Weasley,1
Original Female Character,1
Luna Lovegood,1
Neville Longbottom,1
Lucius Malfoy,1
Rigo Vasquez,1
Oliver Wood,1
Percy Weasley,1
Tina Goldstein,1
Scabior,1
Voldemort,1
Alice Longbottom,1
Frank Longbottom,1
Bellatrix Black Lestrange,1
Nymphadora Tonks,1
Gideon Prewett,1
Cedric Diggory,1
Reader,1
