Alternate Universe - Hogwarts,freq
Draco Malfoy,122
Harry Potter,115
none,98
Original Female Character,81
Hermione Granger,64
Severus Snape,48
Reader,34
Sirius Black,34
Remus Lupin,31
Rey,28
Tom Riddle,25
Kylo Ren,25
Jeon Jungkook,25
Kim Taehyung | V,20
James Potter,16
Lily Evans Potter,15
Original Character,14
Ron Weasley,14
Cedric Diggory,13
Tony Stark,12
Oikawa Tooru,10
Fred Weasley,10
Stiles Stilinski,10
Merlin,10
Steve Rogers,10
Park Jimin,10
Nico di Angelo,9
Peter Parker,9
Loki,9
Keith,9
Albus Dumbledore,9
Gellert Grindelwald,9
Aziraphale,9
Crowley ,9
Arthur Pendragon (Merlin),9
James Bucky Barnes,9
Iwaizumi Hajime,8
Min Yoongi | Suga,8
Sherlock Holmes,8
Lance (Voltron),8
George Weasley,8
John Watson,7
Neville Longbottom,7
Hatake Kakashi,7
Castiel,7
Dean Winchester,7
Derek Hale,7
Bellatrix Black Lestrange,7
Will Solace,7
Eddie Kaspbrak,7
Richie Tozier,7
Kim Readerngwoon | Kangin,7
Park Jungsoo | Leeteuk,7
Lán Zhàn | Lán Wàngjī,6
Wèi Yīng | Wèi Wúxiàn,6
Harry Styles,6
Louis Tomlinson,6
Regulus Black,6
Percy Jackson,6
Hope Mikaelson,5
Original Male Character,5
Uchiha Obito,5
Blaise Zabini,5
Choi San,5
Jung Wooyoung,5
Clay | Dream,5
Lucius Malfoy,5
Clarke Griffin,5
Hannibal Lecter,5
Will Graham,5
Bokuto Koutarou,5
Josie Saltzman,4
Arya Stark,4
Bakugou Katsuki,4
Geralt z Rivii | Geralt of Rivia,4
Kurt Hummel,4
Annabeth Chase,4
Newt Scamander,4
Luò Bīnghé,4
Shěn Yuán | Shěn Qīngqiū,4
Anxiety | Virgil Sanders,4
Akaashi Keiji,4
Ben Solo,4
Choi Seungcheol | S.Coups,3
Hong Jisoo | Joshua,3
Yoon Jeonghan,3
Zuko (Avatar),3
Hinata Shouyou,3
Evie,3
Katsuki Yuuri,3
Victor Nikiforov,3
Brienne of Tarth,3
Jaime Lannister,3
Hiccup Horrendous Haddock III,3
Jack Frost (Guardians of Childhood),3
Midoriya Izuku,3
Karl Jacobs,3
Sapnap,3
Jaskier | Dandelion,3
Tim Drake,3
Kim Namjoon | RM,3
