First Time,freq
Harry Potter,483
Draco Malfoy,289
Severus Snape,163
Hermione Granger,160
Sirius Black,95
Remus Lupin,84
Ginny Weasley,37
Tom Riddle,36
Ron Weasley,35
Scorpius Malfoy,28
Original Percival Graves,26
Original Female Character,25
Lucius Malfoy,25
Credence Barebone,23
James Potter,22
Albus Severus Potter,22
Reader,21
Voldemort,18
Lily Evans Potter,13
Teddy Lupin,13
Newt Scamander,13
Neville Longbottom,12
James Sirius Potter,12
Oliver Wood,11
George Weasley,11
Charlie Weasley,11
Bellatrix Black Lestrange,10
Pansy Parkinson,9
Nymphadora Tonks,9
Luna Lovegood,9
Fred Weasley,8
Theodore Nott,8
Cedric Diggory,8
none,7
Albus Dumbledore,7
Original Male Character,6
Viktor Krum,6
Marcus Flint,6
Narcissa Black Malfoy,6
Theseus Scamander,6
Daphne Greengrass,5
Astoria Greengrass,5
Gellert Grindelwald,5
Percy Weasley,5
Tina Goldstein,5
Victoire Weasley,5
Fleur Delacour,4
Regulus Black,4
Rose Weasley,4
Minerva McGonagall,4
Bill Weasley,3
Kylo Ren,3
Original Character,3
Dobby,3
Lavender Brown,3
Albus Potter,2
Colin Creevey,2
Alicia Spinnet,2
Scabior,2
Bakugou Katsuki,2
Quirinus Quirrell,2
Aurora Sinistra,2
Dean Thomas,2
Seamus Finnigan,2
Rey,2
Jon Snow,2
Player Character (Hogwarts Mystery),2
Padma Patil,2
John Watson,2
Sherlock Holmes,2
Barnaby Lee,2
Cormac McLaggen,2
Horace Slughorn,2
Tony Stark,2
Peter Pettigrew,1
Hannibal Lecter,1
Will Graham,1
Ootori Kyoya,1
Henry Emily,1
William Afton | Dave Miller,1
Aro (Twilight),1
Bartemius Crouch Jr,1
Delphini,1
Orion Black,1
Walburga Black,1
Yagami Light,1
Jeon Jungkook,1
Kim Taehyung | V,1
Frank Zhang,1
Percy Jackson,1
Grail Ashford,1
Harry Styles,1
Louis Tomlinson,1
Isaac Lahey,1
Jackson Whittemore,1
Hermione,1
Castiel,1
Castiel&#39;s Trenchcoat (Supernatural),1
Lily Evans,1
Charmont,1
OMC,1
