Hogwarts Eighth Year,freq
Draco Malfoy,1867
Harry Potter,1438
Hermione Granger,664
Severus Snape,75
Pansy Parkinson,70
Neville Longbottom,61
none,55
Ron Weasley,53
Theodore Nott,46
Ginny Weasley,43
Blaise Zabini,31
Luna Lovegood,29
Original Female Character,21
Reader,21
Seamus Finnigan,9
Fred Weasley,9
Remus Lupin,9
Charlie Weasley,8
Daphne Greengrass,7
Gregory Goyle,6
Dean Thomas,6
Sirius Black,6
Lavender Brown,5
Viktor Krum,5
Voldemort,5
Tom Riddle,4
Lucius Malfoy,4
Astoria Greengrass,4
Annabeth Chase,4
Percy Jackson,4
Drarry - Relationship,4
Arthur Pendragon (Merlin),4
Merlin,4
Susan Bones,4
Anthony Goldstein,4
James Potter,3
George Weasley,3
Narcissa Black Malfoy,3
Millicent Bulstrode,2
Original Character,2
Minor or Background Relationship,2
Bellatrix Black Lestrange,2
Percy Weasley,2
Ernie Macmillan,2
Hannah Abbott,2
Lily Evans Potter,2
Minerva McGonagall,2
Thorfinn Rowle,1
Ginny Weasly,1
Delphi,1
Jacob Black,1
Renesmee Cullen,1
Mary Macdonald,1
Dobby,1
dramione,1
Original Male Character,1
Elena Gilbert,1
Katherine Pierce,1
Other,1
Arthur Weasley,1
Weasley Family,1
Anneliese Rosier,1
Albus Severus Potter,1
Scorpius Malfoy,1
Scabior,1
Natasha Romanov ,1
Harry Potter (mostly one - sided),1
Jason Grace,1
Piper McLean,1
Gladio | Gladion,1
Simon Snow,1
Tyrannus Basilton Baz Pitch,1
Harry Styles,1
Louis Tomlinson,1
Aurora Sinistra,1
Loki ,1
Kylo Ren,1
Rey,1
Michael Corner,1
Albus Dumbledore,1
Nico di Angelo,1
Will Solace,1
Draco,1
Harry,1
Ron Weasley (past),1
Vernon Dursley,1
Vincent Crabbe,1
Peter Pettigrew,1
Tracey Davis,1
an army of Hufflepuffs,1
Terence Higgs,1
Fem! Harry Potter,1
