Depression,freq
Draco Malfoy,96
Harry Potter,91
Hermione Granger,48
Severus Snape,26
Sirius Black,16
Remus Lupin,14
Original Female Character,9
Ron Weasley,9
none,5
Bellatrix Black Lestrange,4
Lily Evans Potter,4
Tom Riddle,4
James Potter,3
Voldemort,3
Lucius Malfoy,3
Charlie Weasley,3
Nymphadora Tonks,2
Reader,2
Theodore Nott,2
Credence Barebone,2
Original Percival Graves,2
Albus Dumbledore,2
Gellert Grindelwald,2
Regulus Black,2
Fred Weasley,2
Scorpius Malfoy,2
James Sirius Potter,2
Teddy Lupin,2
Pansy Parkinson,1
Frank Zhang,1
Percy Jackson,1
Asterin Nott,1
Narcissa Black Malfoy,1
Percy Weasley,1
Original Male Character,1
daenerys targaryen,1
dorian havilliard,1
Blaise Zabini,1
Jacob Black,1
Kuroo Tetsurou,1
Tsukishima Kei,1
Luna Lovegood,1
Cassandra Burke Goyle (Original Character),1
Marlene McKinnon,1
Loki ,1
Barry Allen,1
Eileen Prince,1
Tobias Snape,1
Dudley Dursley,1
Vernon Dursley,1
Loki Odinson,1
Thor Odinson,1
Castiel,1
Dean Winchester,1
Fenrir Greyback,1
Astoria Greengrass,1
Albus Severus Potter,1
