Sex,freq
Hermione Granger,369
Draco Malfoy,308
Harry Potter,278
Severus Snape,180
Original Female Character,98
Remus Lupin,78
Reader,76
Sirius Black,57
Lucius Malfoy,42
Ron Weasley,40
Tom Riddle,38
Narcissa Black Malfoy,33
none,32
Fred Weasley,28
Nymphadora Tonks,23
Ginny Weasley,19
Lily Evans Potter,18
Voldemort,17
Pansy Parkinson,16
George Weasley,16
Neville Longbottom,13
Charlie Weasley,13
James Potter,12
Luna Lovegood,12
Bellatrix Black Lestrange,11
Original Character,10
Bill Weasley,9
Blaise Zabini,9
Original Male Character,9
Daphne Greengrass,8
Fleur Delacour,8
Albus Dumbledore,7
Edward (Anita Blake),7
Theodore Nott,7
James Sirius Potter,7
Oliver Wood,6
Micah Callahan,6
Fenrir Greyback,6
Aurora Sinistra,6
Other,5
Bartemius Crouch Jr.,5
Jean - Claude (Anita Blake),5
Cormac McLaggen,5
Original Percival Graves,5
Scorpius Malfoy,5
Minerva McGonagall,5
Newt Scamander,5
Gellert Grindelwald,4
James,4
Susan Bones,4
Viktor Krum,4
Albus Severus Potter,4
Loki ,4
Dominique Weasley,4
Tina Goldstein,4
Rabastan Lestrange,3
Player Character (Hogwarts Mystery),3
Credence Barebone,3
Rose Weasley,3
Albus,3
Scorpius,3
Teddy,3
Teddy Lupin,3
Regulus Black,2
Antonin Dolohov,2
Dean Winchester,2
Millicent Bulstrode,2
Delphi,2
Thorfinn Rowle,2
Abraxas Malfoy,2
Dudley Dursley,2
Astoria Greengrass,2
Moaning Myrtle,2
Poppy Pomfrey,2
Cedric Diggory,2
Marcus Flint,2
Many,2
Hannah Abbott,2
Lily Luna Potter,2
Multi,2
Andromeda Black Tonks,2
Rodolphus Lestrange,2
Barnaby Lee,2
Artimis Knight,2
Molly Weasley,2
Percy Weasley,2
?,2
Felix Rosier,2
Ron Weasley (past),1
Peter Griffin,1
Sans,1
Adrian Pucey,1
Graham Montague,1
Harry Hart | Galahad,1
Death,1
Eleanor,1
Susan,1
Jae Kim,1
Sirius,1
Dipper Pines,1
Maggie Simpson,1
